# No Expectations leads triaged to lane C8 — 46 albums. Format: artist | album | year | label | n_posts | URLs | note
Horse Jumper of Love | Disaster Trick | 2024 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Named as a 2024 favorite Terry left off the list because he wrote its press bio.
Joyer | On the Other End of the Line… | 2025 |  | 2 | https://www.noexpectations.fyi/p/joyer-cistern-flock-of-dimes-chico-states-album-reviews ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Knotty, brooding indie rock that swings between breezy introspection and shoegaze explosions.
Little Kid | A Million Easy Payments | 2024 | Orindal | 3 | https://www.noexpectations.fyi/p/new-music-little-kid-hemlock-bnny-hour ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Intimate, meaty, relentlessly hummable slow-tempo songs with soft-spoken vocals and exploratory jazz touches.
Little Mazarn | Mustang Island | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
lots of hands | into a pretty room | 2025 | Fire Talk | 3 | https://www.noexpectations.fyi/p/the-best-albums-of-january-2025-so-far ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Winsome ramshackle bedroom folk with flickering electronics and processed vocals; for Hovvdy, Pinback and Alex G fans.
Loving | Any Light | 2024 |  | 2 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | British Columbia folk band of sophisticated songwriters working at a deliberate pace.
Maneka | bathes and listens | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Combustible intersection of slowcore and shoegaze, with head-splitting noise and glimmering moments.
Mess Esque | Jay Marie, Comfort Me | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
Mess Esque & Jay Marie | Comfort Me | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far | Listed without commentary under '40 more stellar LPs'.
Otto Benson | Peanut | 2025 |  | 2 | https://www.noexpectations.fyi/p/otto-benson-joe-glass-jana-horn-winged-wheel ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Pretty but austere guitar folk with a bassy croon, undeniable melodies and shimmering pedal steel on a sparse palette.
Perren | The Spot | 2025 |  | 2 | https://www.noexpectations.fyi/p/best-new-albums-september-2025-big-thief-mae-powell-abel ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Stripped-back bedroom pop recorded in upstate New York, wistful and breezily optimistic.
Shabason & Krgovich | Four Days in June | 2026 |  | 1 | https://www.noexpectations.fyi/p/shabason-krgovich-styrofoam-winos-haylie-davis | Meditative folk-rock palette of hushed electric guitar, brushed drums, understated pedal steel and woodwinds.
Shep Treasure | Blanket | 2026 |  | 2 | https://www.noexpectations.fyi/p/no-expectations-140-swimming ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Hazy, meditative folk rock that pairs gorgeousness with eeriness and wonkiness.
Sleeper's Bell | Clover | 2025 |  | 2 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Ruminative, conversational, surprisingly potent folk whose direct lyrics reach transcendence.
Sluice | Companion | 2026 |  | 2 | https://www.noexpectations.fyi/p/no-expectations-140-swimming ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Conversational folk-rock that is weirder and more interior than the debut, with room noise and experimental production.
Sluice | Radial Gate | 2023 |  | 5 | https://www.noexpectations.fyi/p/work-burnout-happiness-babylon-sluice ; https://www.noexpectations.fyi/p/vibes-and-songs-artists-sick-of-myself ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list | North Carolina collective led by Justin Morris making openhearted, introspective folk about floating in a river and thinking about life; loose but lyrically dense with lived-in pastoral arrangements.
Squirrel Flower | Tomorrow's Fire | 2023 | Polyvinyl | 3 | https://www.noexpectations.fyi/p/best-new-tracks-music-q3-2023 ; https://www.noexpectations.fyi/p/squirrel-flower-tomorrows-fire-interview ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | 'Intheskatepark' is a dense, hooky guitar jam over programmed drums that floored Terry; LP due Oct. 13 with 'Alley Light', 'Your Love', 'When a Plant Is Dying' previewed.
Teethe | Magic of the Sale | 2025 |  | 2 | https://www.noexpectations.fyi/p/best-new-albums-teethe-emily-hines-seth-beck-ada-lea ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | A level-up for the Texas slowcore group: dark, enveloping, nostalgic atmospherics with strings and pedal steel.
The Clearwater Swimmers | The Clearwater Swimmers | 2024 |  | 2 | https://www.noexpectations.fyi/p/new-indie-rock-albums-sept-oct-merce-lemon-lutalo ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Maine-born, Queens-based folk-rock debut whose hushed intimacy flips into electric guitars, evoking Harvest Moon and Magnolia Electric Co.
The Namby Pamby | Marketplace | 2022 |  | 1 | https://www.noexpectations.fyi/p/no-expectations-043-bad-summer | Sparse but pretty slow-burn indie rock from a Fort Wayne trio with obvious future potential.
vega | beacon, how blue | 2026 |  | 2 | https://www.noexpectations.fyi/p/resavoir-spencer-hoffman-vega-dialup-ghost ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Nine soft, openhearted, melancholic indie rock songs with woozy twang and waltz-like arrangements.
Vega | trust me, i'm trying | 2024 |  | 4 | https://www.noexpectations.fyi/p/music-will-prove-you-wrong ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far ; https://www.noexpectations.fyi/p/new-lps-sheepskin-hemlock-spun-out-nap-eyes | Gentle, adventurous Burlington indie rock debut, one of his favorites of the year, recorded by Greg Freeman's Cam Gilmour with Hannah Frances guesting.
Widowspeak | Roses | 2026 |  | 1 | https://www.noexpectations.fyi/p/casual-technicians-tara-clerkin-trio-slippers-basic | Airtight, soaring pop writing with woozy Americana flourishes and twangy signifiers rather than pure mood-setting.
