# No Expectations leads triaged to lane C3 — 21 albums. Format: artist | album | year | label | n_posts | URLs | note
JP Harris | JP Harris Is a Trash Fire | 2024 |  | 3 | https://www.noexpectations.fyi/p/best-country-albums-of-2024 ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 ; https://www.noexpectations.fyi/p/listen-to-records-youve-never-heard | Country songwriter praised for lyrics that are self-aware, satirical and decent, funny and gutting in the same song; also recapped live.
Ken Pomeroy | Cruel Joke | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Stripped-back autobiographical country with sophisticated harmonies and sagacious lyrics.
Kiely Connell | My Own Company | 2024 |  | 1 | https://www.noexpectations.fyi/p/best-country-albums-of-2024 | Understated Americana produced by Tucker Martine whose full-band settings let reflections on loss and mental health soar.
Maddy Kirgo | Shadow on My Light | 2024 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | New Orleans songwriter blending classic country and indie-pop charm in a Natalie Prass vein.
National Photo Committee | Red Hot Photo Committee | 2026 | Ever/Never | 2 | https://www.noexpectations.fyi/p/my-new-band-believe-spoils-national-photo-committee ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Raucous country-tinged bar rock with gravelly vocals and spidery pedal steel.
Sarah Shook & the Disarmers | Revelations | 2024 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Named as a 2024 favorite Terry left off the list because he wrote its press bio.
Tobacco City | Horses | 2025 |  | 3 | https://www.noexpectations.fyi/p/fust-silver-synthetic-tobacco-city-will-stratton ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Gorgeous neon-lit country songs adding energy and catharsis to the Americana blueprint of Tobacco City, USA, with merged harmonies.
Tobacco City | Tobacco City, USA | 2021 |  | 1 | https://www.noexpectations.fyi/p/best-new-tracks-july-2023 | Two new songs: 'America' is a caustically funny Chris Coleslaw-sung track and 'Motorcade' is an understated, gorgeous Lexi Goddard ballad; Terry calls the 2021 LP stellar, citing 'Blue Raspberry' and 
Tommy Goodroad | Goddammit | 2026 |  | 1 | https://www.noexpectations.fyi/p/tommy-goodroad-swapmeet-kevin-copeland | Rowdy, rollicking roots-rock debut mixing '70s and '90s pop country, '80s outlaw country and contemporary indie twang.
Waxahatchee | Saint Cloud | 2020 |  | 3 | https://www.noexpectations.fyi/p/new-music-sam-evian-villagerrr-rosali-sun-seeker ; https://www.noexpectations.fyi/p/hovvdy-interview-charlie-martin-will-taylor ; https://www.noexpectations.fyi/p/wild-pink-dulling-the-horns-interview-john-ross | Named alongside Tigers Blood and Plains as a modern classic of excavating lyrics and effortless melody.
Waxahatchee | Tigers Blood | 2024 | ANTI- | 6 | https://www.noexpectations.fyi/p/the-most-anticipated-albums-of-2024 ; https://www.noexpectations.fyi/p/new-music-sam-evian-villagerrr-rosali-sun-seeker ; https://www.noexpectations.fyi/p/hovvdy-interview-charlie-martin-will-taylor | Salt Shed show with a new band of Twin Peaks' Clay Frankel and Colin Croom plus Spencer Tweedy; one of the decade's most fitting songwriter moves.
