# No Expectations leads triaged to lane C6 — 71 albums. Format: artist | album | year | label | n_posts | URLs | note
John Andrews & the Yawns | STREETSWEEPER | 2026 |  | 2 | https://www.noexpectations.fyi/p/abbey-blackwell-robber-robber-hiding-places-john-andrews-yawns ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Mellow, cozy, dreamy indie pop with finely written, conversational songs; fifth LP.
Kacey Johansing | Year Away |  |  | 1 | https://www.noexpectations.fyi/p/radiohead-albums-ranked-the-smile-kid-a | Sturdy, timeless piano-driven folk-rock that nods to Carole King and Bacharach without retro pastiche.
Kevin Morby | Little Wide Open | 2026 |  | 1 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Bucolic folk-rock with near-spiritual stakes across 13 tracks.
Kevin Morby | More Photographs (A Continuum) | 2023 |  | 1 | https://www.noexpectations.fyi/p/jury-duty-steely-dan-book-review | Companion album of reworked and leftover This Is a Photograph songs; 'Five Easy Pieces Revisited' is incredible.
Kevin Morby | This Is a Photograph | 2022 |  | 2 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according ; https://www.noexpectations.fyi/p/best-new-music-q1-2023-morby-sakamoto | Morby's best album, partly inspired by a Jeff Buckley 'Grace' listening session Terry conducted with him in 2019.
Lee Baggett | Waves for a Begull | 2024 |  | 2 | https://www.noexpectations.fyi/p/22-degree-halo-haley-heynderickx-lee-baggett ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | West Coast lifer and Little Wings collaborator makes crunchy, warm, mellower Crazy Horse-style rock with snaking solos and B3 organ.
Liam Kazar | Due North | 2021 |  | 1 | https://www.noexpectations.fyi/p/rosali-interview-bite-down-taste-profile | Fantastic record; a new album is in the works after a Hideout set with Sarah Weddle opening.
Liam Kazar | Pilot Light | 2025 | Flying Cloud Recordings | 2 | https://www.noexpectations.fyi/p/liam-kazar-astrachan-zook-h-pruz-belair-lip-bombs ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Cozy, smooth, conversational folk-rock with breezy observational songwriting, in a New Morning / Wings register.
Liz Cooper | New Day | 2026 |  | 3 | https://www.noexpectations.fyi/p/mod-lang-liz-cooper-nashpaints-remember-sports ; https://www.noexpectations.fyi/p/2025-albums-i-missed-last-year ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Called one of his absolute favorite albums of 2026, with standout singles, after seeing her at Thalia Hall.
Mapache | Roscoe's Dream | 2022 |  | 1 | https://www.noexpectations.fyi/p/great-albums-from-2022-i-missed-2 | Eighteen-song hour of earnest, classic songwriting from Clay Finch and Sam Blasucci; 'Love Can't Hold Me' and 'Light My Fire' cited.
Mapache | Swinging Stars | 2023 |  | 2 | https://www.noexpectations.fyi/p/no-expectations-043-bad-summer ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | LA duo played 'French Kiss' and covered the Flying Burrito Brothers' 'Hot Burrito No. 2' and Smokey Robinson.
Mikaela Davis | And Southern Star | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Classically trained harpist's Americana soft rock with Fairport Convention echoes and tasteful playing.
Minor Moon | Live at Thawed Out |  |  | 1 | https://www.noexpectations.fyi/p/my-new-band-believe-spoils-national-photo-committee | His favorite Chicago band, whose live LP he mentions alongside the Hideout show.
Minor Moon | The Light-Up Waltz | 2024 |  | 4 | https://www.noexpectations.fyi/p/new-music-little-kid-hemlock-bnny-hour ; https://www.noexpectations.fyi/p/hovvdy-interview-charlie-martin-will-taylor ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far | Cosmic, Americana-tinged rock with adventurous guitar theatrics, gorgeous pedal steel and Dead-like vibes (Terry wrote its bio).
Ora Cogan | Hard Hearted Woman | 2026 |  | 1 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Refined dusky country and smoky soul with '70s-inflected elegance.
Rosali | Bite Down | 2024 | Merge | 6 | https://www.noexpectations.fyi/p/the-most-anticipated-albums-of-2024 ; https://www.noexpectations.fyi/p/new-music-sam-evian-villagerrr-rosali-sun-seeker ; https://www.noexpectations.fyi/p/rosali-interview-bite-down-taste-profile | Fourth album with David Nance's Mowed Sound: elliptical folk songs that rock like Yo La Tengo or Neil Young and mesmerize like Sandy Denny or Will Oldham.
Rosali | No Medium | 2021 |  | 1 | https://www.noexpectations.fyi/p/rosali-interview-bite-down-taste-profile | Her first Mowed Sound collaboration, called a standout of the decade.
Rose City Band | Sol Y Sombra | 2025 | Thrill Jockey | 4 | https://www.noexpectations.fyi/p/peter-anspach-goose-interview-2025 ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/no-expectations-116-be-here-now | Leisurely strolled through the new LP with patient jams; Ripley Johnson of Wooden Shjips / Moon Duo.
Sam Blasucci | ALL BLUE | 2025 |  | 2 | https://www.noexpectations.fyi/p/reviews-pry-blasucci-lifeguard-daughter-swords-niemi ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Tasteful, sophisticated piano-led pop with an airy croon, after the glam-pop Real Life Thing and earnest Off My Stars.
Sam Blasucci | Off My Stars | 2023 |  | 2 | https://www.noexpectations.fyi/p/no-expectations-043-bad-summer ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Listed among the 40 honorable mentions (positions 61–100) with no blurb.
Sam Evian | Premium |  |  | 1 | https://www.noexpectations.fyi/p/best-new-albums-september-2025-big-thief-mae-powell-abel | Named in a gig recap as an older Sam Evian record.
Sean Thompson | Head In the Sand | 2025 |  | 1 | https://www.noexpectations.fyi/p/best-country-albums-of-2024 | Forthcoming February 2025 LP noted after a Chicago show.
Sean Thompson's Weird Ears | Head In The Sand | 2025 |  | 4 | https://www.noexpectations.fyi/p/wild-pink-dulling-the-horns-interview-john-ross ; https://www.noexpectations.fyi/p/in-defense-of-the-library-squid-goose-cutouts ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far | Terry's favorite touring guitarist previews a February LP that trades his debut's twang for exploratory, cosmic territory.
Sean Thompson's Weird Ears | Inner Principle | 2026 |  | 1 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Listed without a blurb in the alphabetical honorable-mentions section.
Sean Thompson's Weird Ears | Weird Ears | 2022 |  | 1 | https://www.noexpectations.fyi/p/great-albums-from-2022-i-missed-2 | Nashville guitarist's band LP of twangy riffs and easygoing songs about country living and long drives; chill despite mesmerizing grooves.
Shrunken Elvis | Shrunken Elvis | 2025 |  | 2 | https://www.noexpectations.fyi/p/best-new-albums-september-2025-big-thief-mae-powell-abel ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Instrumental Nashville project luxuriating in enveloping synths and patient steel guitar; ambient, kosmische, Dead-adjacent.
Silver Synthetic | Rosalie | 2025 | Curation Records | 3 | https://www.noexpectations.fyi/p/fust-silver-synthetic-tobacco-city-will-stratton ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Playful cosmic pop in the sweet spot between New Riders of the Purple Sage and the Clientele, on the Beachwood Sparks-adjacent Curation label.
Skyway Man | Flight of the Long Distance Healer | 2023 |  | 1 | https://www.noexpectations.fyi/p/great-albums-from-2022-i-missed-2 | James Wallace's kaleidoscopic piano rock with dense psychedelic flourishes, opaque lyrics and hair-raising choruses; swampy, soulful and spacey.
Skyway Man | The Flight of the Long Distance Healer | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Oakland-based kaleidoscopic piano rock with psychedelic flourishes and hair-raising choruses.
Spencer Cullum | Spencer Cullum's Coin Collection 3 | 2026 |  | 1 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Listed without a blurb in the alphabetical honorable-mentions section.
Sylvie | Sylvie | 2021 |  | 1 | https://www.noexpectations.fyi/p/great-albums-from-2022-i-missed-2 | Ben Schwab's LA project opened with trio arrangements of the self-titled LP.
Te Huhu | Deelishis Herbs | 2024 |  | 1 | https://www.noexpectations.fyi/p/22-degree-halo-haley-heynderickx-lee-baggett | Auckland quartet mixing desert twang, country atmospherics and brooding psych in immersive arrangements that swing rowdy to delicate.
Teddy & The Rough Riders | Down Home | 2024 |  | 1 | https://www.noexpectations.fyi/p/best-country-albums-of-2024 | Pandemic-era, Dead-inspired psychedelic twang with guest vocalists; their prior LP was produced by Margo Price.
Teddy and the Rough Riders | Down Home |  |  | 1 | https://www.noexpectations.fyi/p/greg-freeman-gelli-haha-way-dynamic-tops-review | Psychedelic and twangy rippers with strong guitar interplay, recapped from a Judson & Moore show.
The War on Drugs | Live Drugs, Again |  |  | 1 | https://www.noexpectations.fyi/p/wild-pink-dulling-the-horns-interview-john-ross | Ross plays it every morning and singles out 'Burning' as unbelievable.
The War on Drugs | Lost in the Dream |  |  | 1 | https://www.noexpectations.fyi/p/wild-pink-dulling-the-horns-interview-john-ross | Ross's top-five all-time record, which clicked when he was first fully on his own; he also praises the recent Live Drugs, Again.
Tyler Ballgame | For The First Time, Again | 2026 |  | 2 | https://www.noexpectations.fyi/p/no-expectations-132-penny-in-the ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Warm '70s-inflected songs with commanding, theatrical vocals and tasteful non-pastiche arrangements.
Way Dynamic | Duck | 2024 |  | 2 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Melbourne's Dylan Young studies mellow '70s songwriting in the Carole King, Jackson Browne, Rundgren and Nilsson mode.
Way Dynamic | Massive Shoe | 2025 |  | 2 | https://www.noexpectations.fyi/p/greg-freeman-gelli-haha-way-dynamic-tops-review ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | '70s-styled folk-rock and oddball funk with painstaking attention to harmonies and drum sounds.
Whitney | Light Upon the Lake |  |  | 1 | https://www.noexpectations.fyi/p/katy-kirby-blue-raspberry-interview | Bought at Waterloo Records in Austin during college summers.
Whitney | Small Talk | 2025 |  | 2 | https://www.noexpectations.fyi/p/liam-kazar-astrachan-zook-h-pruz-belair-lip-bombs ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Blurb not captured (fetch truncated); called their best-sounding, most confident collection in a Nov 2025 recap.
Whitney | SPARK | 2022 |  | 2 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according ; https://www.noexpectations.fyi/p/best-tv-shows-2022 | Close friends' most ambitious, left-field record, grown from acoustic demos into recordings with Brad Cook and John Congleton at Sonic Ranch.
Wild Pink | A Billion Little Lights | 2020 |  | 2 | https://www.noexpectations.fyi/p/going-to-shows-alone-mailbag ; https://www.noexpectations.fyi/p/wild-pink-dulling-the-horns-interview-john-ross | Pretty, introspective heartland indie with atmospheric arrangements and raw feeling; few finer rock bands touring.
Wild Pink | Dulling The Horns | 2024 |  | 2 | https://www.noexpectations.fyi/p/wild-pink-dulling-the-horns-interview-john-ross ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Fifth LP and Terry's pick for their best, recorded mostly live with a heavier, rough-edged rock palette; the title track is a fist-raising ode to moving on.
Wild Pink | ILYSM | 2022 |  | 2 | https://www.noexpectations.fyi/p/going-to-shows-alone-mailbag ; https://www.noexpectations.fyi/p/wild-pink-dulling-the-horns-interview-john-ross | Earlier record made after Ross's cancer diagnosis, called excellent and cathartic.
Wild Pink | Yolk in the Fur | 2018 |  | 1 | https://www.noexpectations.fyi/p/wild-pink-dulling-the-horns-interview-john-ross | Synth-rock haze drawing on Springsteen and War on Drugs.
Wilder Maker | Male Models | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Gabe Birnbaum cedes vocals to guests (Mutual Benefit, V.V. Lightbody, Adam Duritz) on a record full of extended guitar jams and replayable choruses; ripped live with Adam Brisbin.
