# No Expectations leads triaged to lane C7 — 149 albums. Format: artist | album | year | label | n_posts | URLs | note
Feller | Sound Colored Penny | 2026 | Angel Tapes | 2 | https://www.noexpectations.fyi/p/feller-nilza-costa-momoko-gill-tomeka-reid ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Frantic, hook-tightened indie rock trio record that does it all in about 25 minutes.
Fib | Heavy Lifting | 2025 |  | 2 | https://www.noexpectations.fyi/p/10-albums-zastava-awning-junk-drawer ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Erratic, ecstatic Philadelphia guitar rock with playful arrangements.
FOOTBALLHEAD | Overthinking Everything | 2024 | Tiny Engines | 1 | https://www.noexpectations.fyi/p/the-most-anticipated-albums-of-2024 | Listed with release date in the rundown of other early-2024 releases to watch; no sound description.
Forth Wanderers | The Longer This Goes On | 2025 |  | 2 | https://www.noexpectations.fyi/p/phish-united-center-review-2025-new-music ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Mathy indie rock with energetic jangle and galvanizing hooks.
Fred Thomas | Window in the Rhythm | 2024 |  | 1 | https://www.noexpectations.fyi/p/new-lps-dave-vettraino-fred-thomas | Guitar-and-electronics reckoning with life and mistakes that Terry calls a career-best, starkly emotional statement.
Frog | 1000 Variations On the Same Song | 2025 |  | 3 | https://www.noexpectations.fyi/p/dead-gowns-horsegirl-frog-goose-winter-tour ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Folky, lo-fi and scrappy, like Modest Mouse making a Pinegrove album, with aching lyrics and unadorned production.
Gladie | Don't Know What You're Into Until You're Out | 2022 |  | 1 | https://www.noexpectations.fyi/p/best-new-music-q1-2023-morby-sakamoto | Ex-Cayetana singer Augusta Koch's crunchy guitars and big choruses, best when she stretches the formula.
Gladie | No Need To Be Lonely | 2026 |  | 1 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Listed without a blurb in the alphabetical honorable-mentions section.
Golden Apples | Bananasugarfire | 2023 | Lame-O Records | 2 | https://www.noexpectations.fyi/p/best-new-albums-dusk-golden-apples-wilco ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Philly group's relentlessly hooky, fuzzed-out jangle and power-pop with memorable choruses throughout.
Golden Apples | Shooting Star | 2025 |  | 2 | https://www.noexpectations.fyi/p/wednesday-potpot-lawn-goose-new-albums ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | More spacious, nervy and unpredictable Philly power-pop, hooky and Elephant 6-indebted.
Golomb | Love | 2024 |  | 1 | https://www.noexpectations.fyi/p/new-lps-robber-robber-sinai-vessel-ben-seretan | Columbus power trio playing pummeling, loud but varied songs; Terry calls them the future of indie rock.
Golomb | The Beat Goes On | 2025 |  | 2 | https://www.noexpectations.fyi/p/no-expectations-116-be-here-now ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Adventurous, stylistically shifting indie rock that still flows front to back; Built to Spill and Pavement echoes.
Good Flying Birds | Talulah's Tape | 2025 | Carpark | 2 | https://www.noexpectations.fyi/p/cusp-good-flying-birds-shutaro-noguchi-review ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Pristine, thoughtful jangle-pop recorded as home demos, with GBV-grade hooks and surging punk energy.
Good Morning | The Accident | 2024 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Melbourne duo's leaner second 2024 LP with cutting autobiographical lyrics about addiction, ahead of a hiatus.
Goon | Dream 3 | 2025 |  | 3 | https://www.noexpectations.fyi/p/10-albums-zastava-awning-junk-drawer ; https://www.noexpectations.fyi/p/hannah-frances-prewn-snooper-review ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Dense, idea-packed 51 minutes like glitchy Yo La Tengo or blissed-out Built to Spill.
Graham Hunt | American Pyramid | 2026 |  | 1 | https://www.noexpectations.fyi/p/convinced-friend-dos-santos-graham-hunt | Playful deconstruction of rock and punk with boisterous singles and frantic late-'90s pop-rock hooks.
Graham Hunt | If You Knew Would You Believe It? | 2022 |  | 1 | https://www.noexpectations.fyi/p/no-expectations-043-bad-summer | Guitar-forward '90s alt-rock with hooky choruses that slides between snotty rock, stargazing psych and introspective folk.
Graham Hunt | Timeless World Forever | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
Graham Hunt | Try Not To Laugh | 2023 |  | 1 | https://www.noexpectations.fyi/p/radiohead-albums-ranked-the-smile-kid-a | Self-released Wisconsin power pop with effortless hooks and a '90s rock sensibility.
Half Gringa | Cosmovision | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far | Listed without commentary under '40 more stellar LPs'.
Half Gringa | Cosmovisión | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
Hiding Places | The Secret To Good Living | 2026 | Keeled Scales | 2 | https://www.noexpectations.fyi/p/abbey-blackwell-robber-robber-hiding-places-john-andrews-yawns ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Brutal pounding riffs, dual lead vocals and patient pastoral arrangements.
Horsegirl | Phonetics On and On | 2025 |  | 3 | https://www.noexpectations.fyi/p/dead-gowns-horsegirl-frog-goose-winter-tour ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | More direct than the debut: ramshackle perfect pop songs with grooves and glowing harmonies.
Horsegirl | Versions of Modern Performance | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Teenage Chicago trio with the best taste Terry has seen in a young band; an efficient romp through indie rock's fringes recorded by John Agnello.
Hovvdy | Hovvdy | 2024 |  | 2 | https://www.noexpectations.fyi/p/hovvdy-interview-charlie-martin-will-taylor ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far | 19-track double LP with stronger melodies and more hi-fi recordings than their earlier work; praised by Zach Bryan and boygenius.
Jimmy Montague | Tomorrow's Coffee | 2024 |  | 1 | https://www.noexpectations.fyi/p/the-most-anticipated-albums-of-2024 | Listed with release date in the rundown of other early-2024 releases to watch; no sound description.
Joe Glass | Slither | 2022 |  | 1 | https://www.noexpectations.fyi/p/otto-benson-joe-glass-jana-horn-winged-wheel | 2022 debut he says would have been a favorite had he heard it then.
Joe Glass | Snakewards | 2026 |  | 2 | https://www.noexpectations.fyi/p/otto-benson-joe-glass-jana-horn-winged-wheel ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Earworm rippers channeling Nuggets garage and '90s indie: fuzzed-out guitars, jangly transcendence, punk swagger.
Jon McKiel | Bobby Joe Hope | 2020 |  | 2 | https://www.noexpectations.fyi/p/five-lps-donald-byrd-hftrr-kglw-gizz-gbv ; https://www.noexpectations.fyi/p/lily-seabird-hollow-hand-angela-autumn-crying-laughing-jon-mckiel | Songs written in response to ghostly samples found on a used reel-to-reel; inventive and haunting.
Jon McKiel | Gold Horatio | 2026 |  | 1 | https://www.noexpectations.fyi/p/lily-seabird-hollow-hand-angela-autumn-crying-laughing-jon-mckiel | Canadian folk artist's bubbling, dreamlike collaboration with Jay Crocker, colored by synths and programmed drums.
Jon McKiel | Hex | 2024 |  | 2 | https://www.noexpectations.fyi/p/five-lps-donald-byrd-hftrr-kglw-gizz-gbv ; https://www.noexpectations.fyi/p/lily-seabird-hollow-hand-angela-autumn-crying-laughing-jon-mckiel | Earlier Jay Crocker collaboration he liked but never wrote about.
Jonathan Personne | Nouveau Monde | 2024 |  | 3 | https://www.noexpectations.fyi/p/saba-monde-ufo-oldstar-raisa-k-jonathan-personne ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Corridor member's shimmering, breezy power-pop with Zombies and Beach Boys colors.
Kindsight | No Shame No Fame | 2024 |  | 1 | https://www.noexpectations.fyi/p/new-music-denmark-felt-escho-konkylie | Sparkling jangle-pop with wrinkled, edgy guitars in an Alvvays/Hatchie vein.
King Tuff | Smalltown Stardust | 2023 |  | 2 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Listed among the 40 honorable mentions (positions 61–100) with no blurb.
Kiwi Jr. | Blowin' Up | 2026 |  | 1 | https://www.noexpectations.fyi/p/nina-winder-lind-will-hasell-johanna-samuels-kiwi-jr | Jangly riffs, punchy choruses and literary lyrics about sports and touring, with new time-signature experiments.
Kiwi jr. | Chopper | 2022 |  | 1 | https://www.noexpectations.fyi/p/no-expectations-043-bad-summer | Sardonic Toronto indie rock adding synths and sheen to a mastered wit-and-melody formula; Terry notes they have opened for GBV, Pavement, the Walkmen and the Lemonheads.
Kiwi jr. | Cooler Downs | 2021 |  | 1 | https://www.noexpectations.fyi/p/no-expectations-043-bad-summer | Earlier LP named alongside Football Money (2020) as the formula Chopper builds on.
lake j | Dizzy | 2024 |  | 5 | https://www.noexpectations.fyi/p/always-listen-to-your-friends-recommendations ; https://www.noexpectations.fyi/p/hannah-frances-mannequin-pussy-wildflower-new-lp ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far | Cadien Lake James's debut of glimmering pop melodies in jangle and tasteful electronics, previewed at the Empty Bottle.
Lawn | Bigger Sprout | 2022 |  | 2 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according ; https://www.noexpectations.fyi/p/pitchfork-music-festival-2023-preview | New Orleans duo splitting the difference between breezy power-pop and nervy post-punk over seven skip-free songs; part of the power-pop comeback with Dazy, 2nd Grade, Mo Troper.
Lawn | Blood on the Tracks | 2018 |  | 1 | https://www.noexpectations.fyi/p/wednesday-potpot-lawn-goose-new-albums | Lawn's 2018 debut cited in the band's background.
Lawn | God Made the Highway | 2025 |  | 2 | https://www.noexpectations.fyi/p/wednesday-potpot-lawn-goose-new-albums ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Thrilling, scrappy New Orleans blend of post-punk and power-pop with dual lead vocals.
Lawn | Johnny | 2020 |  | 1 | https://www.noexpectations.fyi/p/wednesday-potpot-lawn-goose-new-albums | Lawn's 2020 album cited in the band's background.
Liquid Mike | S/T | 2023 |  | 2 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Marquette, Michigan punks: 11 dense, anthemic, hooky songs in 18 minutes taking cues from Fountains of Wayne, PUP, Rozwell Kid and the '90s.
Madeline Kenney | Kiss From the Balcony | 2025 |  | 2 | https://www.noexpectations.fyi/p/phish-united-center-review-2025-new-music ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Inventive atmospheric indie rock with pristine mixing and jangle-pop / psych touches.
Major Murphy | Access | 2020 |  | 1 | https://www.noexpectations.fyi/p/best-new-tracks-july-2023 | Grand Rapids band headlined the Bottle; Terry cites their 2018 debut No. 1 and 2020's Access as the records to hear.
Major Murphy | Fallout | 2024 |  | 2 | https://www.noexpectations.fyi/p/tips-to-avoid-doomscrolling ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Grand Rapids trio strips its formula to essentials while getting weirder and more fleshed-out; the title track is their most experimental.
Major Murphy | No. 1 | 2018 |  | 1 | https://www.noexpectations.fyi/p/best-new-tracks-july-2023 | Named alongside Access as the band's key record.
Mamalarky | Hex Key | 2025 | Epitaph | 4 | https://www.noexpectations.fyi/p/brown-horse-mamalarky-neu-blume-finnish-postcard-casper-skulls ; https://www.noexpectations.fyi/p/mamalarky-interview-hex-key-taste-profile ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far | Their most immediate, pop-forward set, leaning into hazy psychedelia and enveloping grooves.
Mamalarky | Mamalarky | 2020 | Fire Talk | 1 | https://www.noexpectations.fyi/p/mamalarky-interview-hex-key-taste-profile | Self-titled debut cited in the discography rundown.
Mamalarky | Pocket Fantasy | 2022 | Fire Talk | 2 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according ; https://www.noexpectations.fyi/p/mamalarky-interview-hex-key-taste-profile | Atlanta art-rock band fronted by the most inventive guitarist in indie rock, effortless-sounding complicated riffs; on Fire Talk.
Mo Troper | MTV | 2022 |  | 1 | https://www.noexpectations.fyi/p/no-expectations-043-bad-summer | Fifteen all-killer power-pop tracks that pair intellectual rigor with warmth and classic hooks.
Mo Troper | Troper Sings Brion | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Named in the intro as a 2023 record Terry left off because he wrote its bio or it is a live/covers set.
Mod Lang | Borrowed Time | 2026 |  | 2 | https://www.noexpectations.fyi/p/mod-lang-liz-cooper-nashpaints-remember-sports ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Unfussy '60s-styled rock'n'roll with crunchy jangle-pop riffs and pristine sing-along choruses.
Moontype | Bodies of Water | 2021 |  | 2 | https://www.noexpectations.fyi/p/new-lps-sheepskin-hemlock-spun-out-nap-eyes ; https://www.noexpectations.fyi/p/foxwarren-2-interview-andy-shauf-avery-kissick | Terry calls it one of his favorite albums of the decade; new material with two guitarists adds muscle.
Moontype | I Let The Wind Push Down On Me | 2025 |  | 3 | https://www.noexpectations.fyi/p/foxwarren-2-interview-andy-shauf-avery-kissick ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Ethereal vocals over shockingly unorthodox bass-written melodies, with shredding new guitarists.
Mt. Misery | Love In Mind | 2024 |  | 1 | https://www.noexpectations.fyi/p/4-great-albums-from-2024 | Chiming power pop with Teenage Fanclub's most melodic whimsy and hypnotic guitar lines.
Nap Eyes | The Neon Gate | 2024 |  | 1 | https://www.noexpectations.fyi/p/new-lps-sheepskin-hemlock-spun-out-nap-eyes | Nova Scotia band's conversational, bookish lyrics over sunny organ and strong guitars; one of the decade's best guitar-rock bands per Terry.
NE-HI | NE-HI | 2014 |  | 1 | https://www.noexpectations.fyi/p/twin-peaks-age-of-peace-cola-trinity-ace | First Chicago band his own age he truly loved; the reunion opened the residency, and this debut and Offers form one of Chicago indie rock's best two-LP runs.
NE-HI | Offers | 2017 |  | 1 | https://www.noexpectations.fyi/p/twin-peaks-age-of-peace-cola-trinity-ace | Second half of NE-HI's two-LP run; band disbanded in 2018 and reunited for the residency.
Neptune's Core | Pivot | 2026 |  | 1 | https://www.noexpectations.fyi/p/hana-stretton-neptunes-core-bullseye-mallory-hawk | Young Chicago band in conversation with the city's indie rock tradition: explosive catharsis and unpredictable songs.
Neu Blume | Let It Win | 2025 |  | 3 | https://www.noexpectations.fyi/p/brown-horse-mamalarky-neu-blume-finnish-postcard-casper-skulls ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Confident Detroit band staking a lane of warmer, crisper midtempo jangle with inviting grace.
Nina Winder-Lind | Wild Love | 2026 |  | 1 | https://www.noexpectations.fyi/p/nina-winder-lind-will-hasell-johanna-samuels-kiwi-jr | The New Eves member's primal folk intensity rendered as straightforward, guitar-solo-driven anthemic indie rock.
Noah Kesey | Guitar Music | 2023 |  | 2 | https://www.noexpectations.fyi/p/ed-sheeran-lets-get-it-on-trial-noah-kesey ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list | Greg Freeman's guitarist surprise-released inviting, off-kilter rock mixing shoegaze, Primal Scream-ish melodies and trumpet; he calls it 'wook shoegaze'.
Noah Kesey | Songs 2019: Pangaea |  |  | 1 | https://www.noexpectations.fyi/p/noah-kesey-dynamite-premiere-music-video-p4k | Earlier LP that ranged from '90s alt-rock to glitch pop while staying cohesive.
Noah Kesey | Songs 2019: Pangea | 2022 |  | 1 | https://www.noexpectations.fyi/p/ed-sheeran-lets-get-it-on-trial-noah-kesey | Previous record veering from outsider pop to driving indie rock to the house-inflected 'Radar'.
Oceanator | Nothing's Ever Fine | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Listed without blurb among 2022 favorites.
Overhand Sam | Bad Weapon | 2023 |  | 1 | https://www.noexpectations.fyi/p/2023-lps-i-missed-worth-your-time | Rochester songwriter's densely psychedelic, knotty rock with effortless melodies and unconventional writing.
PACKS | Melt The Honey | 2024 | Fire Talk | 1 | https://www.noexpectations.fyi/p/the-most-anticipated-albums-of-2024 | Listed with release date in the rundown of other early-2024 releases to watch; no sound description.
palefire | full heart, big empty eyes | 2026 |  | 1 | https://www.noexpectations.fyi/p/smirk-dari-bay-la-securite-palefire-laceles | Winsome, sturdy indie pop with fuzz, jangle, subtle synths and lullaby melodies from a K Records-loving cellist; Bandcamp-only.
Pictoria Vark | Nothing Sticks | 2025 |  | 2 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
Rebecca Schiffman | Before the Future | 2025 |  | 2 | https://www.noexpectations.fyi/p/no-expectations-116-be-here-now ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Understated, thoughtful indie rock about adult life with rotating collaborators including Chris Cohen and Luke Temple.
Remember Sports | The Refrigerator | 2026 |  | 2 | https://www.noexpectations.fyi/p/mod-lang-liz-cooper-nashpaints-remember-sports ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Anthemic yet intimate pop-rock at the intersection of energetic and vulnerable songwriting.
Renny Conti | Renny Conti | 2025 |  | 3 | https://www.noexpectations.fyi/p/the-best-albums-of-january-2025-so-far ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Indie rock's infectious fringes: perfect pop songs that sometimes go noisy and wonky, with an Andy Shauf comparison.
Rubber Band Gun | Record Deal With God | 2025 |  | 2 | https://www.noexpectations.fyi/p/joyer-cistern-flock-of-dimes-chico-states-album-reviews ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Effortless, deliriously free pop-rock with classic-rock sensibilities in the Ram vein.
Rui Gabriel | Compassion | 2024 |  | 2 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Self-aware indie rock about class and miscommunication with fun grooves and Summerteeth-grade power pop (Terry wrote its bio).
Sam and Louise Sullivan | Love & Devotion | 2026 |  | 1 | https://www.noexpectations.fyi/p/sam-louise-sullivan-heavenly-bodes-shannon-lay-media-puzzle | Ten ebullient, euphoric pop songs with folk-rock sensibilities and McCartney/Fleetwood Mac touches.
Sam and Louise Sullivan | Sweet Enough | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
Sam Evian | Plunge | 2024 |  | 3 | https://www.noexpectations.fyi/p/new-music-sam-evian-villagerrr-rosali-sun-seeker ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | His loosest, most raucously direct record: ebullient power pop and Beatles-style riffs with Adrianne Lenker and El Kempner guesting.
Say Sue Me | The Last Thing Left |  |  | 1 | https://www.noexpectations.fyi/p/best-tv-shows-2022 | Busan indie rock band making consistently pristine throwback indie rock; if you ranked Alvvays' Blue Rev high you owe them a listen.
Say Sue Me | Where We Were Together | 2018 |  | 1 | https://www.noexpectations.fyi/p/best-tv-shows-2022 | Cited as the start of the band's run of great, pristine throwback indie rock.
Sharp Pins | Balloon Balloon Balloon | 2025 |  | 1 | https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
Sharp Pins | Radio DDR | 2024 |  | 2 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far ; https://www.noexpectations.fyi/p/new-lps-lucky-cloud-sharp-pins-macie-stewart-free-range | Breezy Nuggets-indebted power pop from Kai Slater with tighter hooks and more driving riffs than before.
Sharp Pins | Turtle Rock | 2023 |  | 3 | https://www.noexpectations.fyi/p/spotify-vertical-feed-algorithm-ai-dj-koth ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Lifeguard's Kai Slater solo: great pop songs like a bedroom-recorded Big Star or Teenage Fanclub; 'Bye Bye Basil' the standout.
Slippers | Slippers 08 | 2026 |  | 2 | https://www.noexpectations.fyi/p/casual-technicians-tara-clerkin-trio-slippers-basic ; https://www.noexpectations.fyi/p/tommy-goodroad-swapmeet-kevin-copeland | Relentlessly paced, efficient jangly power pop that stays infectious without turning cloying.
Slow Pulp | Melodie | 2026 |  | 1 | https://www.noexpectations.fyi/p/slow-pulp-the-drin-babehoven-ruby-of-thanks | Pristine contemporary alt-rock melding '90s shoegaze with pop sensibility and massive stakes.
Slow Pulp | Moveys | 2020 |  | 1 | https://www.noexpectations.fyi/p/slow-pulp-emily-massey-interview-yard | Debut LP; Terry first saw the band in Madison in 2018 when they had an explosive shoegaze flavor.
