# No Expectations leads triaged to lane C1 — 35 albums. Format: artist | album | year | label | n_posts | URLs | note
Good Looks | Bummer Year | 2022 | Keeled Scales | 2 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according ; https://www.noexpectations.fyi/p/margaux-good-looks-bloomsday-new-music | Texas band writing humane, plainspoken songs about home and growing up around conservatives, with ripping guitar from Jake Ames; Keeled Scales labelmates of Katy Kirby.
Good Looks | Lived Here For A While | 2024 |  | 3 | https://www.noexpectations.fyi/p/margaux-good-looks-bloomsday-new-music ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Conversational, big-hearted full-throated indie rock with big riffs, framed as a document of resilience (Terry wrote its bio).
Greg Freeman | All Set The Bone | 2026 |  | 1 | https://www.noexpectations.fyi/p/tommy-goodroad-swapmeet-kevin-copeland | Upcoming John Congleton-produced LP (Oct 2); lead single 'Indu' shows his growth as a writer.
Greg Freeman | Burnover | 2025 |  | 3 | https://www.noexpectations.fyi/p/greg-freeman-gelli-haha-way-dynamic-tops-review ; https://www.noexpectations.fyi/p/hannah-frances-prewn-snooper-review ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Explosive indie-country with apocalyptic urgency, evocative lyrics and creaky vocals across a cohesive ten-track arc.
Greg Freeman | I Look Out | 2022 |  | 2 | https://www.noexpectations.fyi/p/internet-horror-tom-verlaine-david-berman ; https://www.noexpectations.fyi/p/meta-verification-free-range-greg-freeman | Terry's most-played LP of the year: loud, twangy and off-kilter with memorable hooks; seven-piece band with pedal steel and horns made the loose, emotive songs explode live.
Greg Freeman | I Looked Out | 2022 |  | 6 | https://www.noexpectations.fyi/p/best-new-tracks-july-2023 ; https://www.noexpectations.fyi/p/no-expectations-043-bad-summer ; https://www.noexpectations.fyi/p/music-journalism-future-pitchfork-layoffs | Calls it a future classic; his six-piece with violinist Scott Daniel debuted Elvis Costello-inspired songs and is his favorite live band.
i26connector | i26connector | 2026 |  | 2 | https://www.noexpectations.fyi/p/i26connector-ellie-o-neill-red-pk-amaya-pena ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Seven-song indie-twang debut with wailing pedal steel, booming riffs and conversational lyrics that swing from barroom talk to apocalyptic brooding; one of his favorite 2026 debuts.
Kevin Copeland | Only Love Songs | 2026 |  | 1 | https://www.noexpectations.fyi/p/tommy-goodroad-swapmeet-kevin-copeland | Solo debut of punchy, twangy pop-rock and quietly winsome folk with funny, earnest lyrics.
Merce Lemon | Watch Me Drive Them Dogs Wild | 2024 |  | 3 | https://www.noexpectations.fyi/p/the-2024-chill-grill-summer-playlist ; https://www.noexpectations.fyi/p/new-indie-rock-albums-sept-oct-merce-lemon-lutalo ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Pittsburgh songwriter's country-tinged indie with pedal steel from Xandy Chelmis and feedback-heavy guitars, produced by Colin Miller and Alex Farrar at Drop of Sun.
MJ Lenderman | And the Wind (Live and Loose!) | 2023 |  | 2 | https://www.noexpectations.fyi/p/in-defense-of-live-albums ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Recorded at LA's Lodge Room and Chicago's Lincoln Hall, it turns older songs into muscular, fully formed rock and is the best primer on his talents.
MJ Lenderman | Boat Songs | 2022 |  | 2 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according ; https://www.noexpectations.fyi/p/how-to-interview-your-favorite-band | The album climbing Terry's 2022 rankings fastest: funny songs plus an obvious Songs: Ohia appreciation on the slower tracks; seen live opening for Plains and Advance Base.
MJ Lenderman | Manning Fireworks | 2024 |  | 3 | https://www.noexpectations.fyi/p/new-lps-why-bonnie-bug-club-lia-kohl-sima ; https://www.noexpectations.fyi/p/2023-lps-i-missed-worth-your-time ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Upcoming LP described as warm, astringent rock and roll unconcerned with the zeitgeist, in Neil Young's manner.
Oldstar | Of the Highway | 2025 |  | 3 | https://www.noexpectations.fyi/p/saba-monde-ufo-oldstar-raisa-k-jonathan-personne ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Studio debut of raucous country rock: meaty overdriven guitars, fiddle and outlaw vocals, likened to Lenderman, Steve Earle, DBT and Being There-era Wilco.
Ratboys | AOID | 2015 |  | 1 | https://www.noexpectations.fyi/p/ratboys-mandy-indiana-ulrika-spacek-bad-bunny | Early Ratboys record cited while tracing the band's arc.
Ratboys | Singin' to an Empty Chair | 2026 |  | 2 | https://www.noexpectations.fyi/p/ratboys-mandy-indiana-ulrika-spacek-bad-bunny ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Massive-sounding anthemic indie rock with lilting twang and frantic shredding; how indie rock should be.
Ratboys | The Window | 2023 |  | 4 | https://www.noexpectations.fyi/p/best-new-tracks-july-2023 ; https://www.noexpectations.fyi/p/julia-steiner-ratboys-the-window-interview ; https://www.noexpectations.fyi/p/20-favorite-songs-of-all-time-twitter-comp | Chris Walla-produced LP blending alt-rock, country and a little emo; Terry calls it the culmination of 15 years of patient, inviting songwriting, citing 'Black Earth, WI' and 'Morning Zoo'.
Real Companion | Nü-metal Heroes | 2024 |  | 2 | https://www.noexpectations.fyi/p/daily-chicagoan-new-lps-real-companion ; https://www.noexpectations.fyi/p/2023-lps-i-missed-worth-your-time | Boone, NC's Seth Sullivan writes conversational, self-deprecating heartland rock about aging and nostalgia.
Sonny Falls | Sonny Falls | 2024 |  | 3 | https://www.noexpectations.fyi/p/hannah-frances-mannequin-pussy-wildflower-new-lp ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Big riffs and cathartic choruses, with the songwriting shining in understated numbers.
Spencer Radcliffe | OHIO VISION | 2025 |  | 2 | https://www.noexpectations.fyi/p/spencer-radcliffe-sword-ii-stella-donnelly-saintseneca-review ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Guitar-driven Midwest indie rock that excels both propulsive and relaxed, twangy arrangements under dark, evocative lyrics.
Thomas Dollbaum | Birds of Paradise | 2026 |  | 1 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Roaring Americana to tender folk with a rangy, raspy baritone and stellar harmonies.
Why Bonnie | Wish on the Bone | 2024 | Fire Talk | 1 | https://www.noexpectations.fyi/p/new-lps-why-bonnie-bug-club-lia-kohl-sima | Twangy, expansive rock that turns the debut's Americana into cinematic, ambitious soundscapes with fiddle and harmonies in quieter spots.
Wide Orbit | Introducing... Wide Orbit | 2025 |  | 1 | https://www.noexpectations.fyi/p/2025-albums-i-missed-last-year | Loose, rambunctious garage rock that fuses '60s jangle-pop and '70s country rock with obvious band chemistry.
Wild Pink | Still Coming Down | 2026 |  | 1 | https://www.noexpectations.fyi/p/wild-pink-squirrel-flower-paul-spring-brennan-wedl | Driving, intense indie rock with searing, funny, wrenching lyrics about contemporary malaise; Xandy Chelmis of Wednesday on pedal steel.
