# No Expectations leads triaged to lane C5 — 122 albums. Format: artist | album | year | label | n_posts | URLs | note
Jana Horn | Jana Horn | 2026 |  | 2 | https://www.noexpectations.fyi/p/otto-benson-joe-glass-jana-horn-winged-wheel ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Minimalist folk with sparse evocative lyrics, dreamy unhurried arrangements and scalpel-like detail.
Jana Horn | The Window Is The Dream | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list | Honorable mention.
Jess Cornelius | CARE/TAKING | 2024 |  | 2 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Listed without commentary among 30 honorable mentions below the main mid-year list.
Jess Williamson | Native State | 2014 |  | 1 | https://www.noexpectations.fyi/p/best-new-music-q1-2023-morby-sakamoto | Early record whose 'Seventh Song' Terry rinsed a decade ago.
Jessica Pratt | Here in the Pitch | 2024 |  | 4 | https://www.noexpectations.fyi/p/some-personal-news-ty-segall-jessica-pratt ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Chilling, stripped-back folk with impressionistic lyrics and simple immersive arrangements, reminiscent of Richard Swift.
Jessica Risker | Calendar Year | 2025 |  | 2 | https://www.noexpectations.fyi/p/geese-getting-killed-jeff-tweedy-review ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Lush, considered, mesmerizing Chicago folk with ornate, sometimes psychedelic arrangements.
Jessica Risker | I See You Among the Stars | 2018 | Western Vinyl | 1 | https://www.noexpectations.fyi/p/geese-getting-killed-jeff-tweedy-review | Her earlier record, recalled as delicate, minimal, potent folk.
Joan Shelley | Real Warmth | 2025 |  | 2 | https://www.noexpectations.fyi/p/wednesday-potpot-lawn-goose-new-albums ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Lush, lived-in pastoral folk with patient, transcendent songwriting.
Julie Byrne | The Greater Wings | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Listed among the 40 honorable mentions (positions 61–100) with no blurb.
Kara Jackson | Why Does the Earth Give Us People to Love? | 2023 |  | 3 | https://www.noexpectations.fyi/p/best-new-music-q1-2023-morby-sakamoto ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Oak Park poet-songwriter's grief-steeped debut with impressionistic short tunes and near-eight-minute stretches given room to breathe.
Kassi Valazza | From Newman Street | 2025 |  | 3 | https://www.noexpectations.fyi/p/uwade-mei-semones-colin-miller-eli-winter ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Folk and Americana with wailing pedal steel and introspective lyrics in the Joni Mitchell / Karen Dalton / Sandy Denny line.
Kassi Valazza | Knows Nothing | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Arizona-raised folk with Karen Dalton-inspired vocals and psychedelic guitar; 'Watching Planes Go By' cited.
Kate Bollinger | Songs From A Thousand Frames Of Mind | 2024 | Ghostly International | 1 | https://www.noexpectations.fyi/p/new-indie-rock-albums-sept-oct-merce-lemon-lutalo | Laurel Canyon-flavored folk-pop with organic jazzy arrangements and an airy soprano.
Katy Kirby | Blue Raspberry | 2024 | ANTI- | 5 | https://www.noexpectations.fyi/p/the-most-anticipated-albums-of-2024 ; https://www.noexpectations.fyi/p/katy-kirby-blue-raspberry-interview ; https://www.noexpectations.fyi/p/zach-bryan-concert-review-2024 | More confident, searching second LP about a first queer relationship, cut with Logan Chung and Alberto Sewald, with a Christian Lee Hutson co-write.
Katy Kirby | Cool Dry Place | 2021 |  | 5 | https://www.noexpectations.fyi/p/how-to-interview-your-favorite-band ; https://www.noexpectations.fyi/p/remembering-the-itunes-free-single-of-the-week ; https://www.noexpectations.fyi/p/20-favorite-songs-of-all-time-twitter-comp | New single 'Cubic Zirconia' is a stunner and a song-of-the-year candidate; Terry named Cool Dry Place his 2021 AOTY.
kitship | am i a rock? | 2026 |  | 2 | https://www.noexpectations.fyi/p/i26connector-ellie-o-neill-red-pk-amaya-pena ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Eight songs of acoustic singer-songwriter and low-key lo-fi indie rock with commanding vocals and instant melodies.
klark sound | This Is Music | 2025 |  | 3 | https://www.noexpectations.fyi/p/the-best-albums-of-january-2025-so-far ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Conversational stripped-back songs with a pristine croon between Labi Siffre and Robin Pecknold.
Lamplight | Lamplight | 2024 |  | 3 | https://www.noexpectations.fyi/p/new-albums-lamplight-amen-dunes-tapir ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Pastoral folk rock, intricate yet immediate, with Parachutes-level hooks; engineered by Lightning Bug's Kevin Copeland.
Le Ren | Leftovers | 2021 |  | 1 | https://www.noexpectations.fyi/p/personal-essay-business-insider-internet-italy | Montreal songwriter Lauren Spear (a dear friend) released a fantastic album in 2021; seated headline show at Color Club.
Lily Seabird | Alas | 2024 | Bud Tapes | 5 | https://www.noexpectations.fyi/p/the-most-anticipated-albums-of-2024 ; https://www.noexpectations.fyi/p/the-no-expectations-blogroll ; https://www.noexpectations.fyi/p/new-music-sam-evian-villagerrr-rosali-sun-seeker | Heart-wrenching portrait of loss with a voice swinging from shriek to whisper over muscular clanging guitars (Terry wrote its bio).
Lily Seabird | Lightspheres on Their Way | 2026 |  | 1 | https://www.noexpectations.fyi/p/lily-seabird-hollow-hand-angela-autumn-crying-laughing-jon-mckiel | Fourth LP from the Vermont songwriter balancing explosive, searing electric passages with quiet moments and dexterous lead guitar.
Lily Seabird | Trash Mountain | 2025 |  | 3 | https://www.noexpectations.fyi/p/will-johnson-lily-seabird-hataalii ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Big-hearted, warm indie rock about finding home and belonging amid chaos.
Lindsay Reamer | Natural Science | 2024 |  | 1 | https://www.noexpectations.fyi/p/new-lps-closebye-wishy-lindsay-reamer | Philadelphia songwriter's lived-in folk, Americana and timeless pop informed by field-science work in national parks.
Lizzie No | Halfsies | 2024 |  | 1 | https://www.noexpectations.fyi/p/music-journalism-future-pitchfork-layoffs | Charming, infectious Americana songs that closed the Cosmic Country Showcase at Sleeping Village.
Lou Turner | Microcosmos | 2022 |  | 1 | https://www.noexpectations.fyi/p/no-expectations-043-bad-summer | Conversational, homespun folk with a whimsical melodic sense and inviting delivery.
Lucky Cloud | Foreground | 2025 |  | 4 | https://www.noexpectations.fyi/p/new-lps-lucky-cloud-sharp-pins-macie-stewart-free-range ; https://www.noexpectations.fyi/p/will-johnson-lily-seabird-hataalii ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far | Lush singer-songwriter fare with unorthodox melodies, jazz chords and moody atmospherics recalling Arthur Russell and Jeff Buckley.
Luke Temple | Certain Limitations | 2024 |  | 1 | https://www.noexpectations.fyi/p/new-albums-clairo-billy-strings-sturgill | Listed without description among seven more good LPs of the week.
Lutalo | The Academy | 2024 |  | 2 | https://www.noexpectations.fyi/p/new-indie-rock-albums-sept-oct-merce-lemon-lutalo ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Vermont multi-hyphenate turns knotty indie rock and warm folk into something alien and mesmerizing, cut with Jake Aron at Sonic Ranch.
Mae Powell | Making Room for the Light | 2025 |  | 2 | https://www.noexpectations.fyi/p/best-new-albums-september-2025-big-thief-mae-powell-abel ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Jazz-inflected folk rock carried by a standout voice and immaculate instrumental textures.
Mali Velasquez | I'm Green | 2023 |  | 2 | https://www.noexpectations.fyi/p/best-new-albums-dusk-golden-apples-wilco ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Folk-inflected indie rock swinging between hushed and explosive, a fresh voice in the Katy Kirby / Indigo De Souza lane.
Maple Glider | I Get Into Trouble | 2023 |  | 2 | https://www.noexpectations.fyi/p/best-new-albums-dusk-golden-apples-wilco ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Emotionally devastating songs about religion, bodily autonomy and trauma, in the territory of Julia Jacklin's Pre Pleasure.
Margaux | Inside the Marble | 2024 |  | 6 | https://www.noexpectations.fyi/p/margaux-good-looks-bloomsday-new-music ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far ; https://www.noexpectations.fyi/p/new-lps-closebye-wishy-lindsay-reamer | Unfussy yet ornate, lived-in and cosmic, from stripped melancholy to lush grooves; she plays bass for Katy Kirby.
Marina Allen | Centrifics | 2022 |  | 1 | https://www.noexpectations.fyi/p/no-expectations-043-bad-summer | Timeless art-rock in a classic songwriting lineage, delicate writing anchored by mesmerizing vocals; she also sings on Sylvie's record.
Mold Gold | I'm Sorry I Dropped You As a Baby | 2025 |  | 1 | https://www.noexpectations.fyi/p/2025-albums-i-missed-last-year | Low-key, off-kilter folk-pop with idiosyncratic melodies, mournful strings and moody synths.
Natalie Jane Hill | Hopeful Woman | 2026 |  | 3 | https://www.noexpectations.fyi/p/no-expectations-132-penny-in-the ; https://www.noexpectations.fyi/p/natalie-jane-hill-dagmar-zuniga-symbol-soup-doll-spirit-vessel ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Lush, confident full-band folk with pedal steel, piano and strings; he flags it as an album-of-the-year contender.
Nixon Boyd | Every Time We Turn A Corner | 2026 |  | 1 | https://www.noexpectations.fyi/p/ultra-lights-proun-mary-in-the-junkyard-nixon-boyd | Understated, catchy hushed-folk pop with delicate grooves and Harrison-style slide guitar.
Pearla | Song Room | 2026 |  | 2 | https://www.noexpectations.fyi/p/mildred-brad-goodall-youbet-bruce-springsteen-pearla ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Introspective folk-pop with sparse omnichord-and-acoustic arrangements, both dynamic and mournful.
Rachel Baiman | Common Nation of Sorrow | 2023 |  | 2 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Oak Park-raised Nashville folk with radical politics; timeless tunes with a firm sense of justice, Erin Rae guest and a John Hartford cover.
Renata Zeiguer | Picnic in the Dark | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Arrangements that belong in a neon-lit western dive bar, recalling Timber Timbre, with a spectral voice leaning into subtle spookiness.
Ruby of Thanks | Before You Turn Into a Dog | 2026 |  | 1 | https://www.noexpectations.fyi/p/slow-pulp-the-drin-babehoven-ruby-of-thanks | Quiet, ramshackle folk with knotty melodies, unorthodox arrangements and jazzy instrumentation.
S.G. Goodman | Planting by the Signs | 2025 |  | 2 | https://www.noexpectations.fyi/p/liam-kazar-astrachan-zook-h-pruz-belair-lip-bombs ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
Sadurn | Radiator | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Listed without blurb among 2022 favorites.
Saintseneca | Highwallow & Supermoon Songs | 2025 | Lame-O | 2 | https://www.noexpectations.fyi/p/spencer-radcliffe-sword-ii-stella-donnelly-saintseneca-review ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Columbus folk rock with heady surrealist lyrics and rousing earworm hooks that tilt off-kilter; produced by Steve Ciolek.
Sam Moss | Swimming | 2025 |  | 3 | https://www.noexpectations.fyi/p/10-albums-zastava-awning-junk-drawer ; https://www.noexpectations.fyi/p/hannah-frances-prewn-snooper-review ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Gorgeous folk LP: raspy soothing voice over earthy, verdant songs with Califone, Megafaun, Mountain Goats and Mountain Man players.
Shannon Lay | Past The Veil | 2026 |  | 1 | https://www.noexpectations.fyi/p/sam-louise-sullivan-heavenly-bodes-shannon-lay-media-puzzle | Resplendent folk-rock at the intersection of maximal and understated, with strings, pedal steel and woodwinds.
She Returns From War | Ruthless | 2023 |  | 1 | https://www.noexpectations.fyi/p/squirrel-flower-tomorrows-fire-interview | Hunter Park's project opened, with V.V. Lightbody and Minor Moon's Sam Cantor sitting in; LP due Nov. 10.
Sheepskin | Pirate Ship Playground | 2024 |  | 1 | https://www.noexpectations.fyi/p/new-lps-sheepskin-hemlock-spun-out-nap-eyes | Burlington duo Molly Meehan and Sam Tiesworth's tasteful dual-vocal folk recalling the Canvasback/Asthmatic Kitty era without twee.
