# No Expectations leads triaged to lane X10 — 72 albums. Format: artist | album | year | label | n_posts | URLs | note
Doll Spirit Vessel | Bow | 2026 |  | 2 | https://www.noexpectations.fyi/p/natalie-jane-hill-dagmar-zuniga-symbol-soup-doll-spirit-vessel ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Indie rock that swings between freak-folk dirges, string-laden songs, blistering alt-rock and nervy post-punk.
Dry Cleaning | Secret Love | 2026 |  | 2 | https://www.noexpectations.fyi/p/no-expectations-132-penny-in-the ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Brooding, wry South London post-punk with surprising instrumental flourishes.
Fake Fruit | Mucho Mistrust | 2024 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Named as a 2024 favorite Terry left off the list because he wrote its press bio.
Finom | Not God | 2024 |  | 3 | https://www.noexpectations.fyi/p/finom-not-god-shogun-new-playlist ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Their strongest full-length: knotty, adventurous indie rock with pristine harmonies, produced by Jeff Tweedy; like Kate Bush played by Deerhoof.
Foyer Red | Yarn the Hours Away | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list | Honorable mention; Terry wrote the bio.
Ganser | Animal Hospital | 2025 |  | 3 | https://www.noexpectations.fyi/p/listen-to-records-youve-never-heard ; https://www.noexpectations.fyi/p/best-new-albums-september-2025-big-thief-mae-powell-abel ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Chicago post-punk trio merging electronic atmospherics with cavernous art-punk grooves.
Ganser | Nothing You Do Matters | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Listed without blurb among 2022 favorites.
Geese | 3D Country | 2023 |  | 3 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 ; https://www.noexpectations.fyi/p/new-lps-why-bonnie-bug-club-lia-kohl-sima ; https://www.noexpectations.fyi/p/geese-getting-killed-jeff-tweedy-review | Hammy, genre-blending New York rock that shocked Terry on first listen and became one of the year's best rock LPs.
Geese | Getting Killed | 2025 |  | 3 | https://www.noexpectations.fyi/p/geese-getting-killed-jeff-tweedy-review ; https://www.noexpectations.fyi/p/cusp-good-flying-birds-shutaro-noguchi-review ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Essay on why it deserves the hype: percussion-first rock lurching from pummeling riffs to hair-raising beauty, a Gen Z In Rainbows.
Geese | Projector |  |  | 1 | https://www.noexpectations.fyi/p/geese-getting-killed-jeff-tweedy-review | Debut recalled as a raucous amalgam of 2000s indie rock.
Greaseface | Brick & Mortar | 2026 |  | 2 | https://www.noexpectations.fyi/p/shaking-hand-victoryland-greaseface ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Burlington punk-leaning art-rock trio making taut, nervy, off-kilter rippers.
Guerilla Toss | You're Weird Now | 2025 |  | 3 | https://www.noexpectations.fyi/p/best-new-albums-september-2025-big-thief-mae-powell-abel ; https://www.noexpectations.fyi/p/wednesday-potpot-lawn-goose-new-albums ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Abrasive, glitchy art rock produced by Stephen Malkmus at Trey Anastasio's Vermont studio.
Idles | TANGK | 2024 | Partisan Records | 1 | https://www.noexpectations.fyi/p/the-most-anticipated-albums-of-2024 | Listed with release date in the rundown of other early-2024 releases to watch; no sound description.
Indigo De Souza | All of This Will End | 2023 | Saddle Creek | 3 | https://www.noexpectations.fyi/p/visas-for-foreign-touring-bands-movie-tickets ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Lead single 'Younger and Dumber' is a knockout and a new lane showing her versatility; written as an open letter to her past self; Terry wrote the bio.
Japanese Breakfast | For Melancholy Brunettes (& Sad Women) | 2025 |  | 2 | https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
Japanese Breakfast | Psychopomp | 2016 |  | 1 | https://www.noexpectations.fyi/p/uwade-mei-semones-colin-miller-eli-winter | Recalls following the band since the 2016 debut at a Salt Shed show with Ginger Root.
Jo Passed | Away | 2026 |  | 2 | https://www.noexpectations.fyi/p/ratboys-mandy-indiana-ulrika-spacek-bad-bunny ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Atmospheric, unpredictable indie rock with foreboding strings, jittery guitars and sax.
Junk Drawer | Days of Heaven | 2025 |  | 2 | https://www.noexpectations.fyi/p/10-albums-zastava-awning-junk-drawer ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Starts as post-punk, drifts into heady cosmic haze with dirge synths and Neil Young-ish vocals.
King Blood | Hocus Focus |  |  | 1 | https://www.noexpectations.fyi/p/rosali-interview-bite-down-taste-profile | Rosali raves about the guitar tone and heavy riffs; the whole record plays like a poem.
King Blood | Vengeance Man |  |  | 1 | https://www.noexpectations.fyi/p/rosali-interview-bite-down-taste-profile | Earlier King Blood record Rosali cites while anticipating more.
Laceles | dreamscicle | 2026 |  | 1 | https://www.noexpectations.fyi/p/smirk-dari-bay-la-securite-palefire-laceles | Noisy, grungy rock with violent shifts, brutal riffs, '80s no-wave menace and sweet pop moments; Bandcamp-only.
Lifeguard | Crowd Can Talk | 2022 | Born Yesterday | 2 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according ; https://www.noexpectations.fyi/p/no-expectations-002-maverick | Teenage Chicago noise-rock trio citing Unwound and Fugazi; the EP is their best set yet, abrasive tracks careening in unexpected directions.
Lifeguard | Ripped and Torn | 2025 | Matador | 2 | https://www.noexpectations.fyi/p/reviews-pry-blasucci-lifeguard-daughter-swords-niemi ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Raucous squall-heavy art-rock between power pop and punk, with This Heat / Rites of Spring / Swell Maps energy.
Long Hots | Nickel Dime |  |  | 1 | https://www.noexpectations.fyi/p/rosali-interview-bite-down-taste-profile | Rosali's long-running garage-noise trio.
Maneka | Dark Matters | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Brooklyn guitarist Devin McKnight's songwriting gets brutally heavy and downright weird; Terry wrote the bio.
Mannequin Pussy | I Got Heaven | 2024 | Epitaph | 4 | https://www.noexpectations.fyi/p/the-most-anticipated-albums-of-2024 ; https://www.noexpectations.fyi/p/hannah-frances-mannequin-pussy-wildflower-new-lp ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2024-so-far | Kinetic, ferocious punk balanced with delicate pop moments; logged for list completeness (Terry wrote its bio).
Mary in the Junkyard | Role Model Hermit | 2026 |  | 1 | https://www.noexpectations.fyi/p/ultra-lights-proun-mary-in-the-junkyard-nixon-boyd | Dynamic, chameleonic indie rock with experimental percussion and spectral folk moments.
Meat Wave | Malign Hex | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Chicago punks keep getting more menacing on a gnarly, angry LP that makes you feel you can run through a wall.
Media Puzzle | New Racehorse | 2026 |  | 1 | https://www.noexpectations.fyi/p/sam-louise-sullivan-heavenly-bodes-shannon-lay-media-puzzle | Turbulent egg-punk/post-punk with psych experimentation, trumpet and fuzzed-out leads.
Omni | Deluxe | 2016 |  | 1 | https://www.noexpectations.fyi/p/movietok-critics-oliver-anthony-industry-plant | Atlanta band beloved by other musicians; no new LP since 2019, so Terry revisits the debut.
Omni | Souvenir | 2024 | Sub Pop | 1 | https://www.noexpectations.fyi/p/the-most-anticipated-albums-of-2024 | Atlanta post-punk trio delivering manic, instant-earworm rippers.
Open Head | What Is Success | 2025 |  | 3 | https://www.noexpectations.fyi/p/peter-anspach-goose-interview-2025 ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Kinetic, pummeling post-punk where guitars sound like drums and vice versa.
Palm | Nicks and Grazes | 2022 |  | 1 | https://www.noexpectations.fyi/p/no-expectations-043-bad-summer | Wildly off-kilter indie rock built with MIDI controllers and odd time signatures, hypnotic despite the risks.
Plusser | citrine |  |  | 1 | https://www.noexpectations.fyi/p/new-lps-orbital-ensemble-shoulderbird-plusser | Five-song EP of booming power chords, anthemic choruses and nervy post-punk energy.
Prewn | System | 2025 |  | 2 | https://www.noexpectations.fyi/p/hannah-frances-prewn-snooper-review ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Izzy Hagerup's solo cello-rock: tender but raw, volatile guitar songs with bellowing strings and a massive idiosyncratic voice.
Prewn | Through the Window | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Western Massachusetts solo project blending nightmarish folk with blistering noise rock.
Prostitute | Attempted Martyr | 2024 |  | 2 | https://www.noexpectations.fyi/p/4-great-albums-from-2024 ; https://www.noexpectations.fyi/p/uwade-mei-semones-colin-miller-eli-winter | Righteously angry, frenetic post-punk debut from Dearborn.
Protomartyr | Formal Growth in the Desert | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Listed among the 40 honorable mentions (positions 61–100) with no blurb.
Robber Robber | Two Wheels Move the Soul | 2026 | Fire Talk | 3 | https://www.noexpectations.fyi/p/abbey-blackwell-robber-robber-hiding-places-john-andrews-yawns ; https://www.noexpectations.fyi/p/twin-peaks-age-of-peace-cola-trinity-ace ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Explosive, innovative post-punk with a volatile rhythm section and sticky hooks; his favorite LP of 2026 so far.
Robber Robber | Wild Guess | 2024 |  | 4 | https://www.noexpectations.fyi/p/new-lps-robber-robber-sinai-vessel-ben-seretan ; https://www.noexpectations.fyi/p/wild-pink-dulling-the-horns-interview-john-ross ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2024 | Called one of the year's most inventive and exciting post-punk LPs at their Chicago debut.
Shaking Hand | Shaking Hand | 2026 |  | 2 | https://www.noexpectations.fyi/p/shaking-hand-victoryland-greaseface ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Post-punk debut of spidery riffs and winding jams that stays lush and melodic.
Shalom | Sublimation | 2023 | Saddle Creek | 2 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Direct, unflinching hook-driven songs from a New Brunswick DIY alum, made with Ryan Hemsworth; Terry wrote the bio.
Shame | Food For Worms | 2023 |  | 2 | https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Listed among the 40 honorable mentions (positions 61–100) with no blurb.
Smirk | Speculative Fiction | 2026 |  | 1 | https://www.noexpectations.fyi/p/smirk-dari-bay-la-securite-palefire-laceles | Propulsive, melody-forward punk with nervy riffs and explosive choruses.
Snõõper | Worldwide | 2025 |  | 2 | https://www.noexpectations.fyi/p/hannah-frances-prewn-snooper-review ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Synthy, frenetic art-punk played at 1.5x speed, like DEVO meets Guerilla Toss.
Spread Joy | II | 2022 |  | 1 | https://www.noexpectations.fyi/p/great-albums-from-2022-i-missed-2 | Chicago zig-zag punk, ten Devo-inspired tracks in 17 minutes with an unhinged vocal from Briana Hernandez.
Stuck | Freak Frequency | 2023 |  | 3 | https://www.noexpectations.fyi/p/mckinley-dixon-interview-taste-profile ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Best Chicago post-punk album of the year; nervy, sputtering songs about staying afloat; Obis is part David Byrne/Devo, part Meat Wave/Deeper.
Stuck | Optimizer | 2026 |  | 3 | https://www.noexpectations.fyi/p/no-expectations-140-swimming ; https://www.noexpectations.fyi/p/twin-peaks-age-of-peace-cola-trinity-ace ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Caustic, abrasive post-punk about tech-era anxiety; he calls it the best punk album of the year so far.
Television | Marquee Moon |  |  | 1 | https://www.noexpectations.fyi/p/internet-horror-tom-verlaine-david-berman | Tom Verlaine tribute; an album with a before and after in your life.
The Convenience | Like Cartoon Vampires | 2025 |  | 3 | https://www.noexpectations.fyi/p/mamalarky-interview-hex-key-taste-profile ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2025-so-far ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Sophomore LP with Wire's knotty guitars, Spoon's swagger and the Fall's off-kilter menace.
The Districts | Great American Painting | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Philly touring lifers make their most massive, arena-aspiring record yet, kept tasteful by a decade of chemistry and evocative lyrics.
The Drin | I Lost My Way For Centuries | 2026 |  | 1 | https://www.noexpectations.fyi/p/slow-pulp-the-drin-babehoven-ruby-of-thanks | 23-track double album of post-punk turned transportive desert psychedelia with krautrock and gothic haze.
The Drin | Today My Friend You Drunk the Venom | 2023 |  | 3 | https://www.noexpectations.fyi/p/best-new-music-q1-2023-morby-sakamoto ; https://www.noexpectations.fyi/p/the-30-best-albums-of-2023-so-far-midyear-list ; https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Cincinnati six-piece post-punk that is kinetic, weird and menacing but anchored by groove, with garage and psych touches; tipped by Deer Tick's Ian O'Neil.
Truth Club | Running From the Chase | 2023 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2023 | Asheville band's pummeling, unrelenting indie rock balancing brooding guitars with frantic scorchers.
Ultra Lights | Pleasure's All Yours | 2026 |  | 1 | https://www.noexpectations.fyi/p/ultra-lights-proun-mary-in-the-junkyard-nixon-boyd | Primal, hooky indie rock drawing on post-punk, new wave and Georgia alternative.
Victoryland | My Heart Is A Room With No Cameras In It | 2026 |  | 2 | https://www.noexpectations.fyi/p/shaking-hand-victoryland-greaseface ; https://www.noexpectations.fyi/p/the-40-best-albums-of-2026-so-far | Reference-stacked art-rock that turns 2000s indie and late-'90s radio rock alien.
Wet Leg | Wet Leg | 2022 |  | 1 | https://www.noexpectations.fyi/p/the-60-best-albums-of-2022-according | Initially skeptical of the hype, Terry was sold by 'Being In Love' and 'Ur Mum'; they make indie rock fun again.
Wombo | Danger in Fives | 2025 | Fire Talk | 2 | https://www.noexpectations.fyi/p/best-new-albums-teethe-emily-hines-seth-beck-ada-lea ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Louisville trio pairing sparkling warm melodies with icy, unfussy post-punk arrangements.
Wombo | Fairy Rust | 2022 |  | 1 | https://www.noexpectations.fyi/p/no-expectations-043-bad-summer | Propulsive, pummeling Louisville post-punk shot through with eerie dread and soft pretty moments.
Zastava | Buildings | 2025 |  | 2 | https://www.noexpectations.fyi/p/10-albums-zastava-awning-junk-drawer ; https://www.noexpectations.fyi/p/the-100-best-albums-of-2025 | Listed on the 115-album longlist below the top 100, no blurb.
