id	artist	album	year	lane	secondary	priority	start_here	lineage
A0030	Real Companion	Nü-metal Heroes	2024	C1	C2	Deep cut		Sounds close to the Asheville guitar tone of MJ Lenderman's circle, applied to Prine-style conversational storytelling.
A0031	Why Bonnie	Wish on the Bone	2024	C1		Recommended		Follows 90 in November, whose country sound sits near Waxahatchee and Wednesday, before opening out toward Broken Social Scene/HAIM-style pop-rock.
A0032	Abel	How to Get Away with Nothing	2025	C1		Recommended		Sounds part of the small-label DIY twang network alongside Ohio- and Midwest-based indie-country peers like Spencer Radcliffe.
A0033	Brown Horse	All The Right Weaknesses	2025	C1		Essential		Sounds indebted to Lucinda Williams, Jason Molina and Silver Jews; part of the UK's small but active indie-twang scene.
A0034	Chico States	I Saw A Galloping Horse Cover No Ground	2025	C1		Deep cut		Sounds indebted to Lomax-style folk documentation and cosmic Americana, close to the Northeast's alt-country underground.
A0035	Florry	Sounds Like...	2025	C1		Essential		Continues the Dear Life Records run of The Holey Bible; sounds close to the Asheville indie-twang of MJ Lenderman and Wednesday.
A0036	Greg Freeman	Burnover	2025	C1		Essential		Builds on the cult success of I Looked Out and Freeman's place in the Burlington scene alongside Lily Seabird.
A0037	Oldstar	Of the Highway	2025	C1		Recommended		Sounds indebted to outlaw country and Wilco's Being There; close in spirit to young Southern indie-twang songwriters like Thomas Dollbaum and i26connector.
A0038	Snocaps	Snocaps	2025	C1	C5	Recommended		Connects Lenderman's Asheville circle directly to Waxahatchee's through shared members.
A0039	Spencer Radcliffe	Ohio Vision	2025	C1		Recommended		Sounds of a piece with the current wave of Midwest indie-twang alongside Ratboys and i26connector.
A0040	Thomas Dollbaum	Drive All Night	2025	C1		Deep cut		Brings Dollbaum's alt-country storytelling into the Dear Life Records fold alongside Florry.
A0041	Brown Horse	Total Dive	2026	C1		Recommended		Continues the band's alt-country arc from Reservoir and All the Right Weaknesses.
A0042	Convinced Friend	Nowhere Songs	2026	C1		Recommended		Sounds close to the Northeast slowcore/twang orbit of Horse Jumper of Love and Friendship.
A0043	Greg Freeman	All Set the Bone	2026	C1		Recommended		A more ambitious, geographically displaced follow-up to Burnover, reflecting Freeman's move from Vermont odd jobs to full-time touring musician.
A0044	i26connector	i26connector	2026	C1	C9	Recommended		Sounds close to the Asheville scene around MJ Lenderman and Wednesday, blending twangy Southern rock with an emo-adjacent intensity.
A0045	Kevin Copeland	Only Love Songs	2026	C1		Deep cut		Sounds part of the Vermont/Northeast indie-folk-to-twang orbit of Greg Freeman and Lily Seabird.
A0046	Ovven	Gnawing at the Cord	2026	C1		Recommended		Sounds close to the Asheville-adjacent indie-twang of Wednesday and MJ Lenderman.
A0047	Ratboys	Singin' to an Empty Chair	2026	C1		Recommended		Continues the arc from AOID's quiet twang through The Window's alt-rock/country/emo blend.
A0048	Thomas Dollbaum	Birds of Paradise	2026	C1		Essential		Sounds indebted to Townes Van Zandt and Jason Molina while stepping out of their shadow.
A0049	Twisted Teens	Florida Water Blues	2026	C1		Deep cut		Part of the current New Orleans indie-twang scene alongside Thomas Dollbaum, touring with Kurt Vile.
A0050	Wild Pink	Still Coming Down	2026	C1		Recommended		Sounds like Wild Pink's turn toward the Core indie-twang sound; ruled into C1 as a specific stylistic pivot rather than the band's whole catalogue.
A0051	Advance Base	Nephew in the Wild	2015	C2		Recommended		Carries the deadpan storytelling of the Drag City school (Silver Jews) into Ashworth's own Orindal Records orbit, following directly from his Casiotone for the Painfully Alone records.
A0052	Daughn Gibson	Carnation	2015	C2		Recommended		Follows All Hell (2012) and Me Moan (2013), both pre-2014 and outside this lane's window; Carnation extends his baritone-narrator style into a more electronic production.
A0053	State Champion	Fantasy Error	2015	C2		Recommended		Early-period State Champion, before Davis's Roadhouse Band turn; sounds indebted to the Drag City/Palace lineage that runs to Silver Jews and Purple Mountains.
A0054	Jonny Fritz	Sweet Creep	2016	C2		Deep cut		Follows Dad Country (2013); as Jonny Corndawg-turned-Fritz's later work, it sits at the more experimental, funny-sad end of the outlaw-adjacent Nashville scene.
A0055	Dougie Poole	Wideass Highway	2017	C2		Deep cut		The starting point for Poole's country-by-way-of-DIY-indie sound that would develop through The Freelancer's Blues and The Rainbow Wheel of Death.
A0056	State Champion	Send Flowers	2018	C2		Recommended		Direct predecessor to Ryan Davis & the Roadhouse Band through Davis himself; sounds rooted in the Drag City deadpan lineage.
A0057	Diva Sweetly	In The Living Room	2019	C2	C4	Deep cut		Sounds rooted in scrappier punk and emo rather than the storytelling style of the countrygaze bands.
A0058	Dougie Poole	The Freelancer's Blues	2019	C2		Recommended		Follows his debut Wideass Highway; sounds like Haggard/Nelson/Kristofferson-style storytelling country moved into an ironic, digital-age idiom.
A0059	Purple Mountains	Purple Mountains	2019	C2	V2	Essential		David Berman's return after Silver Jews, rooted entirely in the Drag City deadpan lineage that runs from Starlite Walker through this final album.
A0060	Josh Halper	Alrightnik	2020	C2		Deep cut		Debut predecessor to Schlemiel; sounds indebted to Elliott Smith and fingerstyle players like Leo Kottke and William Tyler.
A0061	Tre Burt	Caught It From the Rye	2020	C2	C5	Recommended		Directly anointed by John Prine, who signed Burt to his own Oh Boy Records, tying Burt's storytelling explicitly to the Prine/Tom T. Hall deadpan tradition that feeds the modern barroom-storyteller scene.
A0062	Dan Wriggins	Mr. Chill	2021	C2		Deep cut		Extends the Philadelphia Friendship/Orindal circle's plainspoken, half-spoken songwriting, itself indebted to the Drag City deadpan school of Silver Jews and Smog that runs through the whole 2020s barroom-storyteller scene.
A0063	Tre Burt	You, Yeah, You	2021	C2		Recommended		Released on John Prine's Oh Boy Records, keeping Burt's storytelling tied to his mentor Prine and the plainspoken folk tradition he represents.
A0064	Brad Goodall	Live At Levon Helm Studios	2022	C2		Deep cut		Live companion to Made In America, recorded shortly after that LP's release.
A0065	Brad Goodall	Made In America	2022	C2		Recommended		Follows Goodall's time in Ona; sounds indebted to the Randy Newman/Warren Zevon line of wry piano storytelling.
A0066	Frank Meadows	Dead Weight	2022	C2	C6	Deep cut		Meadows co-runs Dear Life Records and plays in Fust, linking this solo record directly to that North Carolina/Brooklyn alt-country network.
A0067	Izaak Opatz	Extra Medium	2022	C2		Deep cut		Missoula, Montana songwriter whose work sits at the folk/country-adjacent end of the deadpan-storyteller lineage.
A0068	Colin Miller	Haw Creek	2023	C2		Recommended		Predates Losin'; sounds close to the Asheville scene around MJ Lenderman and Wednesday.
A0069	Dougie Poole	The Rainbow Wheel of Death	2023	C2		Essential		Poole's country songwriting sounds descended from Haggard/Nelson/Kristofferson filtered through Brooklyn's DIY scene; the drum-machine-plus-pedal-steel sound recalls Silver Jews.
A0070	Pony Bradshaw	North Georgia Rounder	2023	C2		Recommended		Follows his 2021 LP Calico Jim, cut at the same Little Rock studio; part of a loose north-Georgia Appalachian storytelling trilogy completed by Thus Spoke the Fool.
A0071	Ryan Davis & the Roadhouse Band	Dancing on the Edge	2023	C2		Essential		Follows Davis's work fronting State Champion; sounds indebted to Souled American, David Berman and Neil Young.
A0072	Fust	Songs of the Rail	2024	C2	C1	Deep cut		Predates and directly seeds the full-band Fust sound heard on Genevieve and Big Ugly; a look at the songwriter's home-recording origins before the Dear Life Records band era.
A0073	Jesse Welles	Hells Welles	2024	C2		Recommended		Sounds like a revival of the Guthrie/Prine topical-folk lineage for the social-media era, reaching listeners through viral video rather than the club circuit.
A0074	Pony Bradshaw	Thus Spoke the Fool	2024	C2		Recommended		Follows Calico Jim and North Georgia Rounder in his run of north-Georgia story records.
A0075	Styrofoam Winos	Real Time	2024	C2		Recommended		Sounds close to the Nashville dive-bar scene of Lambchop and Silver Jews, and to Ryan Davis & the Roadhouse Band.
A0076	Colin Miller	Losin'	2025	C2		Recommended		Follows Miller's debut Haw Creek; sounds of a piece with the Asheville scene around MJ Lenderman and Wednesday.
A0077	Eliza Niemi	Progress Bakery	2025	C2		Deep cut		A borderline Core inclusion: less bar-band than her C2 peers, but shares the funny-sad lyrical mode with Prine/Berman-style songwriters.
A0078	Jonny Fritz	Debbie Downers	2025	C2		Deep cut		Follows Sweet Creep (2016) after a near-decade recording gap; continues his idiosyncratic, joke-laced country songwriting.
A0079	Josh Halper	Schlemiel	2025	C2		Deep cut		Follows Halper's 2020 debut Alrightnik; a Nashville songwriter working the same wry, wordy vein as his singer-songwriter peers.
A0080	Mess Esque	Jay Marie, Comfort Me	2025	C2	C8	Deep cut		Released on Drag City alongside Bill Callahan and Bonnie 'Prince' Billy, placing Mess Esque within that label's wry, left-of-center songwriting world.
A0081	Mildred	mild	2025	C2		Deep cut		Precedes Fenceline as the band's first release.
A0082	Paper Castles	I'm Sad as Hell and I'm Not Going to Fake It Anymore	2025	C2		Recommended		Sounds close to the Northeast indie-twang of Greg Freeman and Lily Seabird; extends jokey, confessional indie-folk songwriting into anthemic rock territory.
A0083	Ryan Davis & the Roadhouse Band	New Threats from the Soul	2025	C2		Essential	Y	Davis fronted the earlier Louisville band State Champion before going solo with the Roadhouse Band; the record extends the Silver Jews/David Berman line of deadpan storytelling into the 2020s.
A0084	The Bird Calls	Take Leave	2026	C2		Recommended		Sounds indebted to the deadpan-songwriter lineage of Berman and Darnielle, within the small Brooklyn Ruination Record Co. circle.
A0085	Brad Goodall	Hometown	2026	C2		Deep cut		Follows Made In America and a Levon Helm Studios live set; continues his piano-based storytelling, which sounds indebted to Zevon and Newman.
A0086	Daughn Gibson	Lake Mary not mysterious	2026	C2		Deep cut		Fourth Daughn Gibson LP, following Carnation (2015); continues his deadpan-narrator persona in a stripped-down mode.
A0087	Mildred	Fenceline	2026	C2		Recommended		Sounds of a piece with the funny-sad, plainspoken songwriting in the barroom-storyteller lane.
A0088	Styrofoam Winos	Any River	2026	C2		Recommended		Sounds close to Ryan Davis & the Roadhouse Band and MJ Lenderman and the Wind.
A0089	Symbol Soup	Stepping on the Same Rakes	2026	C2		Deep cut		A non-US example of the Prine/Berman deadpan-storyteller mode, showing the style's reach beyond its American scenes.
A0090	Buck Meek	Buck Meek	2018	C3		Recommended		Establishes Meek's separate honky-tonk-adjacent solo identity outside Big Thief, rooted in his Texas upbringing.
A0091	Ruston Kelly	Dying Star	2018	C3		Recommended		Draws on Nashville's neo-traditional and outlaw country vocabulary but bends it toward emo's confessional mode, a hybrid Kelly himself named 'dirt emo' and one that seems to echo across later indie-adjacent country songwriting.
A0092	Kacy & Clayton	Plastic Bouquet	2020	C3	C6	Deep cut		A one-off widening of Kacy & Clayton's traditional-leaning catalog through collaboration with Marlon Williams, closer to breezy country rock than their usual austere folk.
A0093	S.G. Goodman	Old Time Feeling	2020	C3		Recommended		Sounds close to Tyler Childers and Ian Noe in the Kentucky storyteller wing of the new country scene.
A0094	Waxahatchee	Saint Cloud	2020	C3		Essential	Y	Grows out of Crutchfield's earlier lo-fi indie-rock work into full country songwriting, leading directly to the Plains project with Jess Williamson and sitting at the front of a wider wave of indie musicians leaning into twang.
A0095	Buck Meek	Two Saviors	2021	C3		Recommended		Deepens Meek's alt-country songwriting voice ahead of his move to 4AD for Haunted Mountain.
A0096	Fust	Evil Joy	2021	C3		Recommended		Fust's founding document, before the fuller alt-country sound the band pursued once signed to Dear Life Records.
A0097	Florence Dore	Highways & Rocketships	2022	C3		Deep cut		Sounds steeped in the 1980s-'90s college-rock and No Depression alt-country lineage that C3 grew from.
A0098	Plains	I Walked with You a Ways	2022	C3		Recommended		A direct collaborative offshoot of Waxahatchee's country pivot, pairing Crutchfield with Jess Williamson's own move from folk toward country songwriting.
A0099	S.G. Goodman	Teeth Marks	2022	C3		Recommended		Extends Old Time Feeling's western-Kentucky storytelling into darker territory; sounds close to Ian Noe and the post-Childers Kentucky scene.
A0100	Bella White	Among Other Things	2023	C3		Essential		Sounds like the Appalachian bluegrass tradition seen through a young Canadian songwriter's lens.
A0101	Blue County Pistol	Under Cold Country	2023	C3		Deep cut		Part of the wider Bandcamp-driven alt-country underground, sharing the banjo-and-drawl approach of countless small self-released country EPs of the early 2020s.
A0102	Buck Meek	Haunted Mountain	2023	C3		Essential		Meek's first release for 4AD, the label Big Thief also records for, bringing his alt-country solo work to a wider audience.
A0103	Fust	Genevieve	2023	C3		Recommended		Expands Evil Joy's lo-fi songwriting into a fuller band sound after signing to Dear Life Records, setting up Big Ugly.
A0104	Jobi Riccio	Whiplash	2023	C3	C5	Recommended		Sounds of a piece with 2020s indie-Americana peers who bring 2010s indie-folk intimacy into recognizably country arrangements.
A0105	Tobacco City	Tobacco City, USA	2023	C3		Recommended		Draws on classic honky-tonk duet singing and cosmic country in the Gram Parsons/Emmylou Harris mold, feeding directly into the band's more widely reviewed follow-up Horses.
A0106	Tommy Prine	This Far South	2023	C3	C5	Recommended		The most literal lineage in the atlas: son of John Prine, carrying the plainspoken country-folk storytelling tradition (V25) directly into the 2020s indie-country scene.
A0107	Jesse Daniel	Countin' the Miles	2024	C3		Recommended		A cowpunk-to-honky-tonk arc in miniature: Daniel's background in California punk bands leads into a self-consciously traditionalist sound that recalls Bakersfield, released through the independent, Nashville-based Lightning Rod Records.
A0108	JP Harris	JP Harris Is a Trash Fire	2024	C3		Recommended		Follows Harris's years fronting JP Harris and the Tough Choices, landing him on Bloodshot's insurgent-country roster.
A0109	Lizzie No	Halfsies	2024	C3	C5	Recommended		Sounds akin to the wider Black country and cosmic-country revival within the neighboring C3 scene.
A0110	Waxahatchee	Tigers Blood	2024	C3		Essential		A continuation of the country-facing sound Crutchfield established on Saint Cloud, cementing the connection between the Waxahatchee/Plains circle and the Asheville MJ Lenderman scene.
A0111	Case Oats	Last Missouri Exit	2025	C3		Recommended		Sounds of a piece with Chicago's indie-country circle and the wider Waxahatchee/MJ Lenderman scene.
A0112	Fust	Big Ugly	2025	C3		Essential		Continues Fust's Dear Life Records run, cementing the North Carolina country-textured songwriting line that runs alongside Wednesday and MJ Lenderman's Asheville-adjacent scene.
A0113	Grace Rogers	Mad Dogs	2025	C3		Recommended		A Sophomore Lounge release from the same Louisville scene as Ryan Davis & the Roadhouse Band; sounds rooted in old-time and string-band music.
A0114	Joshua Hedley	All Hat	2025	C3		Deep cut		Extends Hedley's classic-country throwback catalog for a third record on New West Records.
A0115	Ken Pomeroy	Cruel Joke	2025	C3		Essential		Sits alongside the Oklahoma/Texas red-dirt songwriter tradition, sharing an audience with the Sturgill Simpson/outlaw-adjacent wing of the new country scene.
A0116	S.G. Goodman	Planting by the Signs	2025	C3		Recommended		Continues Goodman's western-Kentucky storytelling; its imagery draws on the region's folk traditions.
A0117	Tobacco City	Horses	2025	C3		Essential		A direct sequel to Tobacco City, USA; sounds indebted to Gram Parsons-style cosmic country.
A0118	Brennan Wedl	Brennan Wedl	2026	C3		Recommended		An Anti- release that sounds close to the Waxahatchee/Snocaps country-rock circle.
A0119	Buck Meek	The Mirror	2026	C3		Recommended		Continues Meek's alt-country solo catalog after his earlier records.
A0120	Emily Nenni	Movin' Shoes	2026	C3		Recommended		Extends Nenni's honky-tonk catalog toward Southern soul, a crossover that sounds close to Margo Price's and Jaime Wyatt's later albums.
A0121	Kiely Connell	Calumet Queen	2026	C3		Deep cut		Sounds like a Midwestern-to-Nashville songwriter story typical of the current alt-country scene.
A0122	National Photo Committee	Red Hot Photo Committee	2026	C3		Recommended		Part of the same Chicago DIY-country circle as Tobacco City and Red PK, connecting the city's cowpunk-adjacent bar-rock scene to the wider Bandcamp alt-country revival.
A0123	Red PK	Horse Like Me	2026	C3		Deep cut		Sounds close to the Chicago cosmic-country scene around Tobacco City.
A0124	Tommy Goodroad	Goddammit	2026	C3		Recommended		Part of the same Chicago DIY-country network as Case Oats and Tobacco City, blending Midwestern roots music with classic honky-tonk and outlaw touches.
A0125	Wednesday	How Do You Let Love Into the Heart That Isn't Split Wide Open	2018	C4		Deep cut		Part of the pre-Lenderman early catalog that shows the band's sound before its shoegaze/noise elements arrived.
A0126	Wednesday	yep definitely	2018	C4		Deep cut		The starting point of Hartzman's project, years before the shoegaze/country fusion of Twin Plagues and Rat Saw God.
A0127	Wednesday	Wednesday	2019	C4		Deep cut		Bridges yep definitely and the fuller-band sound of I Was Trying to Describe You to Someone.
A0128	Wednesday	I Was Trying to Describe You to Someone	2020	C4		Recommended		First album to show the full band's mix of noise rock and alt-country, setting up Twin Plagues.
A0129	Big Vic	Girl, Buried	2021	C4	C1	Deep cut		Sounds akin to Wednesday-adjacent noise/twang bands, though it arrived alongside rather than after them.
A0130	Dutch Interior	Kindergarten	2021	C4		Deep cut		Grew out of the LA DIY scene alongside bands trading Crazy Horse fuzz for twang; feeds directly into Blinded by Fame and Moneyball.
A0131	Hotline TNT	Nineteen in Love	2021	C4	C7	Recommended		Kicks off Hotline TNT's run from DIY noise-pop toward the more country-tinged, festival-ready sound of Cartwheel and Raspberry Moon.
A0132	Wednesday	Guttering	2021	C4	C1	Deep cut		Sounds like a transitional sketch between the band's first two albums.
A0133	Wednesday	Twin Plagues	2021	C4		Essential		Sounds indebted to Velvet Underground-descended noise textures grafted onto Southern storytelling in the Skynyrd-to-Drive-By-Truckers line.
A0134	Wednesday	Wednesday on Audiotree Live	2021	C4		Deep cut		A snapshot of the band mid-transition from lo-fi project to full-throated noise-country outfit.
A0135	Grave Saddles	2022 Tour Tape	2022	C4		Deep cut		Sounds close to the countrygaze Bandcamp scene around Wednesday; precedes There You Ain't.
A0136	Wednesday	Mowing the Leaves Instead of Piling 'em Up	2022	C4		Recommended		Shows the covers/tribute strand of the countrygaze scene and the band's own influences in plain sight.
A0137	Dutch Interior	Blinded by Fame	2023	C4		Recommended		Bridges Dutch Interior's tape-hiss beginnings and their Fat Possum signing; sounds like the Wednesday-style countrygaze template with a heavier '90s alt-rock skew.
A0138	Grave Saddles	There You Ain't	2023	C4		Deep cut		Extends the sound introduced on 2022 Tour Tape; sounds close to Wednesday's countrygaze.
A0139	Noah Kesey	Guitar Music	2023	C4	C1	Deep cut		An off-kilter entry in the countrygaze lineage, closer to noise-pop than to Wednesday's overt country phrasing, but sharing its shoegaze-scale guitar walls.
A0140	Shallowater	There Is A Well	2023	C4		Recommended		Debut full-length that establishes the dirtgaze sound Shallowater expand on with God's Gonna Give You A Million Dollars; part of the small post-Wednesday wave of Texas and Southern bands mixing noise-rock scale with country phrasing.
A0141	Wednesday	Rat Saw God	2023	C4		Essential	Y	Sounds like the Skynyrd-to-Drive-By-Truckers storytelling line fused with Sonic Youth/Dinosaur Jr.-style guitar noise; a defining Core record for this atlas.
A0142	Dutch Interior	Moneyball	2025	C4		Essential	Y	Third album for a band who came up recording to tape; sounds of a piece with Wednesday and Shallowater in the 2020s countrygaze scene.
A0143	Shallowater	God's Gonna Give You A Million Dollars	2025	C4		Essential		Second Shallowater LP, expanding the noise/twang balance of There Is A Well into longer, more patient song structures; sounds of a piece with Dutch Interior and Wednesday.
A0144	Wednesday	Bleeds	2025	C4		Essential		Continues the countrygaze sound of the band's own Twin Plagues and Rat Saw God, now bigger and more anthemic.
A0145	Squirrel Flower	Say a Prayer to the Gods of Getting Going	2026	C4		Deep cut		Continues Squirrel Flower's move toward the countrygaze-adjacent, guitar-wall sound of Wednesday's circle.
A0146	Adrianne Lenker	Stages of the Sun	2006	C5		Deep cut		An early, little-heard document of Lenker's development as a songwriter well before Hours Were the Birds or Big Thief.
A0147	Adrianne Lenker	Hours Were the Birds	2014	C5		Recommended		A parallel solo thread running alongside early Big Thief.
A0148	Adrianne Lenker & Buck Meek	a-sides	2014	C5	C3	Deep cut		An early document of the Lenker-Meek creative partnership that predates Big Thief and continues through Meek's own solo work.
A0149	Adrianne Lenker & Buck Meek	b-sides	2014	C5	C3	Deep cut		Completes the a-sides/b-sides pair documenting Lenker and Meek's pre-Big Thief songwriting collaboration.
A0150	Jess Williamson	Native State	2014	C5	C6	Deep cut		Predates the cosmic-country turn of Cosmic Wink and Sorceress, an early document of Williamson's move from Austin's DIY folk scene toward the wider Mexican Summer roster.
A0151	Joan Shelley	Electric Ursa	2014	C5		Deep cut		Her first record for No Quarter, the label she'd stay with through Real Warmth, part of the Louisville folk scene alongside Nathan Salsburg.
A0152	Saintseneca	Dark Arc	2014	C5		Recommended		Zac Little's Columbus, OH string-band project, drawing on Appalachian instrumentation (balalaika, dulcimer, mandolin) filtered through indie folk-rock.
A0153	Erin Rae	Soon Enough	2015	C5		Deep cut		An early document of Rae's Nashville scene before Putting On Airs brought her wider attention.
A0154	Jessica Pratt	On Your Own Love Again	2015	C5		Recommended		Her only album for Drag City, between her 2012 debut and Mexican Summer's Quiet Signs.
A0155	Joan Shelley	Over and Even	2015	C5		Deep cut		Bridges Electric Ursa and her self-titled 2017 breakthrough.
A0156	Saintseneca	Such Things	2015	C5		Recommended		Zac Little's Columbus, OH string-band project, drawing on Appalachian instrumentation (balalaika, dulcimer, mandolin) filtered through indie folk-rock.
A0157	The Weather Station	Loyalty	2015	C5		Recommended		Tamara Lindeman's long-running Toronto folk project, moving from 2000s singer-songwriter records toward the more expansive, band-driven indie folk of its 2020s run.
A0158	Big Thief	Masterpiece	2016	C5		Essential		Sounds indebted to the folk-songwriting line running from Gillian Welch and Elliott Smith, and starts the 2020s Big Thief/Lenker axis.
A0159	Billie Marten	Writing of Blues and Yellows	2016	C5		Deep cut		Marten came up through YouTube covers and the UK singer-songwriter circuit before signing to RCA; this debut set the hushed template she has expanded over five albums.
A0160	Charlotte Cornfield	Future Snowbird	2016	C5		Deep cut		An early entry in Cornfield's Canadian folk-rock catalog, well before the more widely noticed Could Have Done Anything.
A0161	Julia Jacklin	Don't Let the Kids Win	2016	C5		Recommended		Grew from Australia's singer-songwriter scene; its countryish edges look ahead to the twang overlap of later records like Pre Pleasure.
A0162	Big Thief	Capacity	2017	C5		Essential		Deepens the confessional folk songwriting that would open out into the more exploratory U.F.O.F. and Two Hands.
A0163	Joan Shelley	Joan Shelley	2017	C5		Recommended		Her most widely reviewed record before Like the River Loves the Sea, connecting her to the Wilco/Chicago folk-adjacent circle.
A0164	Julia Lucille	Chthonic	2017	C5		Deep cut		Sounds akin to the 2010s Bandcamp-era hushed indie folk around Keeled Scales, closer to private chamber folk than to country.
A0165	Rachel Baiman	Shame	2017	C5		Recommended		Oak Park, Illinois-raised fiddler turned Nashville songwriter; sounds rooted in the politically engaged old-time and bluegrass-folk tradition.
A0166	Shannon Lay	Living Water	2017	C5		Recommended		Lay's second solo album, made while she played in the LA punk band Feels; sounds akin to the LA cosmic-folk revival around Ty Segall's circle.
A0167	The Weather Station	The Weather Station	2017	C5		Recommended		Tamara Lindeman's long-running Toronto folk project, moving from 2000s singer-songwriter records toward the more expansive, band-driven indie folk of its 2020s run.
A0168	Will Stratton	Rosewood Almanac	2017	C5		Recommended		Grew from Stratton's decade-plus run as a solo-guitar folk songwriter; sounds indebted to Nick Drake and John Fahey.
A0169	Adrianne Lenker	abysskiss	2018	C5		Essential		Establishes Lenker's solo catalog as a genuinely separate, quieter project from Big Thief rather than a side effort.
A0170	Erin Rae	Putting On Airs	2018	C5		Essential		Signed her to Single Lock Records and set the plainspoken, gospel-tinged style she carried into Lighten Up.
