213	C7	Kiwi jr
214	C6	Mapache named C6
215	C6	Mapache member solo
216	X5	Sufjan
217	X5	Sufjan
218	X5	Sufjan
219	X5	Sufjan
220	OUT	Sufjan electronic
221	X5	Sufjan banjo
222	OUT	Sufjan dance record
223	OUT	Sufjan glitch
224	X5	Sufjan debut
225	V22	Dylan
226	V27	Dead
227	V27	Dead
228	C3	Bella White named C3
229	V4	Phosphorescent 2000s roots indie
230	X9	ambient slowcore drone borderline
231	C5	early dreamy Nashville folk
232	C5	early folk record
233	C6	live band AM-radio songwriter
234	C5	Charleston indie folk
235	OUT	mainstream pop punk
236	C7	Petty-esque bar band
237	C7	Golden Apples named C7
238	C5	Jacklin-territory folk
239	C5	folk-inflected Kirby lane
240	V4	Wilco 1999+
241	X5	psych-haze delicate folk
242	C6	Dead Allman grooves
243	V8	solo guitar
244	X4	Creole banjo cello folk borderline
245	C6	Mapache
246	C6	Weird Ears named C6
247	X10	Devo punk
248	X9	Philly shoegaze
249	C6	swampy spacey psych piano rock
250	OUT	jazz
251	C6	Sylvie LA soft country rock
252	V27	Dead live series
253	OUT	funk
254	V4	MMJ named V4
255	V4	MMJ
256	V4	MMJ
257	V4	MMJ
258	C1	Lenderman live
259	C6	Erin Rae live
260	C2	Goodall live piano storyteller
261	V4	Deer Tick named V4
262	V26	Cash live hard country
263	V17	arena power pop ancestor borderline
264	V20	Neil Young live
265	V4	Wilco live
266	V22	Dylan Band live
267	V22	Dylan live box
268	V12	Cat Power sadcore Dylan covers
269	C7	Twin Peaks live
270	V22	The Band live
271	C5	Krieger named C5
272	C6	Morby imprint Carole King soft rock
273	V7	swampy Southern country
274	C7	Bug Club named C7
275	C6	LA guitar solo epics
276	C1	Dari Bay twang alt-rock
277	OUT	French Stereolab psych
278	X10	Geese scene-not-sound
279	C8	eerie hushed Americana baritone
280	C5	delicate acoustic songwriting
281	OUT	UK psych rock
282	OUT	R&B soul
283	C5	Karen Dalton psych folk
284	OUT	electronic pop
285	C6	harp Americana soft rock
286	X10	nightmarish folk noise rock
287	C6	psych piano rock duplicate
288	C5	roots gospel blues folk borderline
289	X10	pummeling Asheville indie rock
290	OUT	Radiohead Stereolab UK
291	X9	Leeds dream pop
292	C6	Erin Rae live
293	C7	Troper covers
294	V22	Dylan
295	V22	Dylan
296	V22	Dylan
297	OUT	Radiohead
298	OUT	Radiohead
299	OUT	Radiohead
300	OUT	Radiohead
301	OUT	Radiohead
302	OUT	Radiohead
303	OUT	Radiohead
304	OUT	Radiohead
305	OUT	Radiohead
306	C6	Carole King piano folk rock
307	C2	Davis named C2
308	C7	Hunt power pop
309	C5	Seabird named C5
310	OUT	rap
311	C5	Kirby folk
312	OUT	avant pop electronics
313	C1	Nance guitar jam rock
314	C7	jangle
315	C9	Friko named C9
316	X10	post-punk
317	C5	Frances named C5
318	C3	Waxahatchee post-Saint Cloud C3
319	C7	laid-back jangle subtle twang
320	C6	sprawling heady psych grooves borderline
321	OUT	UK alt pop
322	X6	hyper emo
323	C7	Toronto slacker
324	OUT	garage psych no lane
325	OUT	Radiohead offshoot
326	V16	Mascis Dinosaur lineage
327	OUT	electronic Latin pop
328	X10	post-punk
329	C3	Sacramento country
330	C7	Chicago power pop soft rock
331	X10	Mannequin Pussy scene-not-sound
332	C7	90s alt rock indie borderline
333	OUT	garage psych
334	OUT	art pop
335	C6	Rosali named C6
336	OUT	art pop folk
337	OUT	Coldplay
338	OUT	Coldplay
339	V10	Modest Mouse late borderline
340	OUT	art pop
341	X5	Shauf named X5
342	C6	Whitney soft country soul
343	OUT	Arcade Fire
344	C5	Americana folk songwriter
345	C5	Villagerrr named C5
346	C5	exploratory guitar folk
347	C7	jangle pop electronics
348	V27	Dead
349	X2	Zach Bryan
350	X2	Zach Bryan
351	X2	Zach Bryan
352	X2	Zach Bryan
353	X2	Zach Bryan
354	C5	Krieger
355	C5	twangy jazz-minded folk
356	C1	big riffs cathartic
357	OUT	psych bossa baroque pop
358	OUT	improv jazz
359	C5	Lenker named C5
360	C7	ebullient power pop
361	OUT	arena indie
362	C7	power pop
363	C3	Saint Cloud C3 rule
364	C6	Wild Pink named C6
365	C6	Wild Pink
366	C6	Rosali named C6
367	X10	garage noise trio
368	V10	Yo La Tengo borderline
369	X10	heavy riff noise
370	X10	heavy riff noise
371	C7	sardonic noisy NY rock
372	OUT	psych pop
373	C6	Kazar named C6
374	C8	slowcore shoegaze grief
375	C8	lo-fi grief slowcore
376	C6	cosmic pedal steel Dead vibes
377	OUT	chamber instrumental piano strings
378	C5	rustic anxious violin folk
379	C8	slow-tempo soft-spoken
380	C8	hemlock named C8
381	OUT	hypnagogic lo-fi pop
382	OUT	Vampire Weekend
383	C7	Hovvdy named C7
384	V10	Yo La Tengo borderline
385	C8	Teethe precursor lo-fi
386	C5	stripped hushed folk
387	OUT	glitchy experimental pop
388	C5	lo-fi Astral Weeks psych folk
389	C6	roomy rock Freedom
390	C5	Brooklyn folk songwriter
391	C5	pastoral folk rock
392	X5	UK art folk
393	C5	patient folk drone borderline
394	V8	instrumental guitar duo
395	V27	Dead acoustic live
396	V27	Dead live
397	V27	Dead debut
398	V27	Dead late studio
399	V27	Dead live
400	V27	Dead archival
401	V27	Dead live 1970
402	OUT	Mayer
403	X10	Chicago art rock scene
404	OUT	jazz fusion
405	C7	hazy sample psych pop borderline
406	V6	HFTRR named V6
407	OUT	King Gizzard rule
408	C7	kinetic jangle guitar jams
409	C7	McKiel earlier
410	V6	HFTRR named V6
411	C7	Warehouse alumni
412	OUT	rap
413	OUT	King Gizzard rule
414	C8	delicate slow songs
415	C5	trad folk harmonies supergroup
416	C1	Good Looks
417	OUT	rap
418	C5	Kirby-circle cosmic folk pop
419	OUT	unknown honorable mention electronic
420	C5	sparse conversational Nashville folk
421	OUT	doom metal
422	C8	gentle Burlington indie
423	C7	hooky indie pop
424	OUT	rap
425	OUT	Ethiopian jazz
426	OUT	ambient jazz sludge
427	C7	Summerteeth-grade power pop
428	C7	Nuggets power pop
429	X5	UK art folk
430	OUT	rap
431	X10	Dehd scene indie
432	OUT	new age pop
433	C6	Wilder Maker leader solo
434	OUT	indie pop
435	C5	folk rock songwriter
436	C8	deliberate BC folk band
437	X9	Brooklyn shoegaze
438	?	unknown band
439	OUT	jazz
440	X9	Seattle dream pop psych
441	?	unknown band
442	C6	70s soft songwriting study
443	C1	Merce Lemon pedal steel feedback
444	X7	Springsteen
445	X4	Billy Strings
446	OUT	pop
447	C6	70s psych rock
448	C6	subdued psych hooks horns borderline
449	C5	unhurried trad folk
450	OUT	synth pop
451	OUT	synth punk
452	C5	art folk borderline
453	V4	Deer Tick named V4
454	OUT	dance punk
455	V7	Sturgill alias
456	C5	folk-leaning solo borderline
457	X6	Long Island emo pop
458	OUT	rap
459	C7	Major Murphy
460	X10	Robber Robber
461	C9	emo to heartland
462	C6	ecstatic long guitar passages borderline
463	C5	orchestral folk baroque
464	C7	Built to Spill line power trio
465	C1	conversational heartland rock NC
466	OUT	R&B
467	OUT	King Gizzard rule
468	OUT	Delhi rock
469	X10	NYC inventive rock scene borderline
470	C5	Philly lived-in folk Americana
471	C7	Wishy named C7
472	OUT	King Gizzard rule
473	C7	Bug Club
474	OUT	cello ambient
475	C5	ornate heavy folk
476	C1	twangy expansive rock
477	C1	Lenderman
478	C5	Krieger
479	OUT	jam band
480	X9	shoegaze pop
481	C8	eerie hushed Americana baritone
482	C6	Wild Pink named C6
483	C6	Wild Pink synth haze
484	C6	War on Drugs named C6
485	C6	War on Drugs live
486	OUT	post-rock
487	OUT	Spoon
488	C6	Weird Ears cosmic
489	OUT	psych noise pop
490	V7	Sturgill
491	C8	hushed to electric Magnolia echo
492	OUT	acid psych sprawl
493	OUT	Sparks Arcade Fire mold
494	C5	Laurel Canyon folk pop jazzy
495	C5	knotty warm folk borderline
496	C2	patio heartland rock songwriters
497	OUT	synth pop
498	C7	minor-key folk rock borderline
499	C7	sardonic noisy NY rock
500	X2	Childers-adjacent groove country rock
501	C3	dive-bar Nashville country
502	C3	satirical honky-tonk songwriter
503	C3	understated Americana
504	C2	character-driven storytelling
505	X4	Sierra Ferrell
506	C6	Dead-inspired psych twang
507	X1	pop-country aspirant
508	V7	90s country time capsule
509	X1	Shania mainstream
510	V22	Dylan country turn
511	C6	Weird Ears cosmic
512	C8	hemlock named C8 though louder
513	C7	Nap Eyes named C7
514	C5	Burlington dual-vocal folk
515	OUT	synth rock
516	C7	Chicago bass-led indie borderline
517	OUT	ambient jazz instrumentals
518	C7	indie lifer guitar electronics borderline
519	C8	folk slacker bedroom Philly
520	C5	fingerpicked conversational folk
521	C6	mellow Crazy Horse B3 Little Wings orbit
522	C6	desert twang brooding psych
523	OUT	instrumental post-rock
524	X5	Spacebomb chamber soul pop
525	V5	Fleet Foxes named V5
526	V5	Fleet Foxes
527	C7	knotty psych rock melodies borderline
528	OUT	Sydney riff rock
529	OUT	synth bossa experimental
530	X5	ornate strings piano crooner
531	C7	Melbourne lean indie pop
532	C3	classic country indie pop charm
533	OUT	rap
534	OUT	jazz krautrock
535	C7	Big Star Postal Service pop
536	C9	post-hardcore heartland twang Molina
537	OUT	kosmische percussion
538	C7	knotty NY indie rock borderline
539	X10	Oakland post-punk
540	C8	Horse Jumper named C8
541	X9	LA fuzz grunge-gaze borderline
542	C3	Shook honky-tonk punk
543	OUT	experimental classical
544	C7	Alvvays-vein jangle
545	OUT	guitar synth pop
546	OUT	instrumental stoner psych
547	C8	hushed rootsy Sandoval minimalism
548	OUT	Danish synth-guitar pop
549	X5	medieval Celtic folk pop
550	V8	instrumental jazz-folk zither
551	C5	stripped conversational croon
552	C8	ramshackle bedroom folk electronics
553	C7	pop songs noisy wonky
554	C5	Weather Station folk lineage borderline
555	C6	Rose City named C6
556	X10	post-punk
557	OUT	Nyege Nyege electronics
558	OUT	Goose jam rule
559	OUT	Zeppelin
560	OUT	RHCP
561	C1	ramshackle twang fiddle Built to Spill
562	C7	Teenage Fanclub power pop
563	OUT	instrumental grooves
564	X10	Dearborn post-punk
565	OUT	Van Etten new wave turn
566	OUT	synth club
567	OUT	Radiohead Aphex rock
568	C5	Dead Gowns named C5
569	C7	lo-fi Modest Mouse Pinegrove
570	C7	Horsegirl
571	C6	Nashville woozy Americana psych borderline
572	C5	roots gospel blues folk
573	X5	chamber pop Pallett
574	OUT	piano miniatures
575	OUT	glitch alt pop
576	C3	Fust named C3
577	C6	Silver Synthetic named C6
578	C3	Tobacco City
579	C5	Stratton named C5
580	C1	Oldstar named C1
581	C7	Zombies power pop
582	OUT	experimental psych
583	OUT	left-field pop
584	OUT	rap soul
585	X10	Montreal kraut post-punk
586	C7	Clientele Real Estate guitar pop
587	C4	Dutch Interior named C4
588	C5	plainspoken folk rock
589	C6	Carole King hazy soft rock borderline
590	C5	Russell Buckley jazz songwriter borderline
591	C7	lo-fi garage rock
592	X9	swirling guitars near shoegaze
593	OUT	field recording collage
594	OUT	electronic samples
595	V1	Will Johnson Molina circle
596	C5	Seabird named C5
597	C8	eerie hushed Americana
598	C1	Brown Horse named C1
599	C7	Pavement REM Superchunk
600	C8	Elliott Smith Pinback homespun borderline
601	C7	Mamalarky pop psych
602	C7	Detroit jangle
603	C7	Mamalarky debut
604	X10	Wire Fall post-punk
605	OUT	Animal Collective
606	OUT	80s strangeness production
607	C2	Colin Miller named C2
608	C7	Summerteeth Segall hooks
609	C5	pedal steel Dalton Denny folk
610	V8	instrumental guitar
611	OUT	bossa jazz indie
612	OUT	calming pop
613	OUT	electronic
614	OUT	improv drone
615	X10	Japanese Breakfast scene-not-sound
616	C8	Friendship named C8
617	X5	ornate orchestral folk
618	V22	Dylan
619	C3	Grace Rogers named C3
620	C2	winking humor Lou Reed country
621	OUT	ambient
622	X5	Foxwarren named X5
623	X5	Foxwarren
624	X5	Shauf
625	X5	Shauf
626	X5	Shauf
627	X5	Shauf
628	V11	Elliott Smith lo-fi
629	OUT	pop punk
630	C1	Florry
631	C7	Moontype bass-led indie
632	OUT	rap
633	C8	ruminative Chicago folk
634	OUT	electronic pop
635	OUT	Stereolab
636	OUT	Segall garage songwriter
637	?	unknown longlist band
638	OUT	jazz trio
639	C7	Chicago folk-rock indie borderline
640	X10	Japanese Breakfast scene-not-sound
641	?	unknown longlist band
642	?	unknown longlist band
643	X9	4AD dream pop
644	C8	hazy slow Australian indie borderline
645	C7	bass-led indie rock borderline
646	X14	PUP punk
647	OUT	jazz
648	C7	UK jangle folk-rock
649	OUT	improv cello viola
650	C7	Bug Club
651	C7	kinetic off-kilter pop
652	C2	wry detailed cello DIY borderline
653	C6	piano pop Mapache member
654	X10	Lifeguard art punk
655	X9	shoegaze adjacent
656	C5	Midwest folk Americana
657	OUT	Talking Heads studio maximalism
658	OUT	krautrock drone
659	OUT	bossa jazz
660	X10	nervy post-punk power chords
661	OUT	Spanish club EP
662	C5	conversational subtle twang solo
663	C5	earthy folk Megafaun players
664	C7	glitchy YLT Built to Spill
665	X10	post-punk to cosmic haze borderline
666	?	unknown longlist band
667	C7	punchy loud-quiet songs borderline
668	C7	erratic Philly guitar rock
669	X9	harmonies stargazing atmospherics borderline
670	X10	post-punk longlist
671	OUT	jazz R&B
672	C8	ethereal psych alt-country ambient
673	C5	UK twangy indie folk
674	C7	Alex G
675	OUT	gospel pop
676	C7	mathy jangle hooks
677	C7	jangle psych indie borderline
678	C7	madcap McCartney oddball pop
679	C2	Davis named C2
680	C6	Nashville Sound orchestral swerve borderline
681	C5	harmony trio Jacklin-adjacent
682	C7	Built to Spill Pavement echoes
683	OUT	summery psych rock
684	C7	understated indie rock borderline
685	X9	hazy Sea and Cake indie
686	C5	Laurel Canyon slice-of-life folk
687	C8	slowcore passages subtle twang
688	C5	sparse folk rock debut
689	C5	folk-leaning steel guitar harmonies
690	OUT	glitchy synth indie
691	OUT	Osees psych
692	X9	spacey shoegaze distortion borderline
693	C7	Tascam bedroom pop
694	C8	Texas slowcore pedal steel
695	X10	Wombo post-punk
696	C5	Hand Habits named C5
697	X9	playful shoegaze
698	C6	ambling folk-tradition guitar rock
699	OUT	primal no-wave folk
700	X5	orchestral Arcade Fire folk
701	C1	Freeman
702	OUT	Goose jam rule
703	C6	70s folk rock funk
704	OUT	electroclash pop
705	OUT	synth pop
706	OUT	art pop
707	C6	psychedelic twangy rippers
708	X10	Ganser
709	C4	Shallowater named C4
710	C1	loud ramshackle country jangle
711	C5	dreamy folk pop borderline
712	C5	Big Thief
713	X10	Guerilla Toss art rock
714	C2	keys heartland conversational
715	C5	jazz-inflected folk rock
716	C8	stripped wistful bedroom borderline
717	C6	kosmische steel Dead-adjacent instrumental
718	C6	Sam Evian soft rock
719	C4	Wednesday
720	C7	Golden Apples
721	C5	pastoral folk
722	C7	Lawn
723	OUT	kraut psych drones
724	C4	Wednesday early EP
725	C7	Lawn
726	C7	Lawn
727	X10	Geese
728	V4	Tweedy
729	C5	Chicago ornate folk
730	C5	minimal potent folk
731	OUT	modular synth
732	OUT	Sea and Cake post-rock pop
733	X10	Geese
734	V11	Mountain Goats lo-fi
735	V11	Mountain Goats continuity
736	C6	Chicago psych country
737	C5	Frances forest folk
738	X10	volatile cello rock noise
739	X10	art punk
740	C5	dusky tasteful folk
741	V10	Grandaddy 90s indie borderline
742	V10	Grandaddy borderline
743	C9	Cusp emo twang
744	C7	GBV-grade jangle demos
745	OUT	Japanese lounge kraut
746	C1	rousing rock pedal steel Americana
747	X10	post-punk
748	OUT	Wasner art pop drone
749	C8	brooding shoegaze introspection
750	C7	Ram-vein pop rock
751	?	unknown new project
752	OUT	Wye Oak
753	OUT	Wye Oak
754	C6	Kazar named C6
755	C7	maximalist 60s 70s rock borderline
756	C7	power pop
757	C5	lush folk orchestral shoegaze
758	C7	Pavement-grade jangle synths
759	C6	Whitney soft country soul
760	X5	Grizzly Bear chamber
761	X5	Grizzly Bear
762	X5	Grizzly Bear
763	X5	Grizzly Bear
764	C5	Kentucky subdued Southern folk borderline
765	V10	Pavement
766	C1	twangy Midwest guitar rock
767	C5	Columbus surrealist folk rock
768	C5	sparse conversational songwriter
769	X9	shoegaze glitch pop
770	C6	Dead-indebted Southern psych
771	V2	Oldham
772	X12	CMAT pop country
773	OUT	Buckley Yorke voice pop
774	C5	Guthrie protest folk
775	OUT	Sakamoto instrumental
776	C3	Pomeroy named C3
777	OUT	piano compositions
778	OUT	Broadcast synth pop
779	C8	slowcore shoegaze
780	OUT	beatmaking
781	OUT	rap soul
782	OUT	electronic jazz
783	C8	Otto Benson named C8
784	C5	Horn named C5
785	C7	Nuggets 90s indie rippers
786	C5	Laurel Canyon folk Nashville taste
787	OUT	krautrock
788	C7	Joe Glass debut
789	X10	nervy art rock trio
790	X10	post-punk debut
791	X10	reference-stacked art rock
792	C5	intimate Chicago folk
793	C7	C86 Flying Nun jangle
794	C6	warm 70s theatrical crooner borderline
795	OUT	off-kilter indie pop woodwinds
796	X10	Dry Cleaning
797	C5	full-band pedal steel folk
798	C1	Ratboys named C1
799	C1	early Ratboys twang
800	X10	atmospheric strings sax indie
801	OUT	art rock electronic
802	OUT	noise electronics
803	C5	Seattle folk crooner
804	C7	frantic hooky trio
805	OUT	soul jazz electronics
806	OUT	spiritual jazz
807	OUT	jazz
808	C7	60s jangle sing-along
809	C6	psych-folk-to-rock songwriter borderline
810	X9	ghostly dream pop shoegaze
811	C7	anthemic pop rock
812	X10	Cola post-punk
813	C7	whimsical folk pop Star Moles
814	X9	Portland shoegaze
815	OUT	synth electronic pop
816	OUT	electronic palette
817	V7	Margo Price named V7
818	C5	ghostly home-recorded folk Elverum
819	X10	freak folk to post-punk swings borderline
820	C2	ambling conversational folk rock
821	C7	fuzzed off-kilter no steel
822	C8	soft melancholic woozy twang
823	C5	buoyant folk rock
824	OUT	ambient jazz
825	C5	Hoffman predecessor
826	C1	indie twang pedal steel debut
827	C9	emo-tinged countrified rock
828	C5	Irish pastoral folk
829	C5	acoustic lo-fi singer-songwriter borderline
830	?	Chicago youth compilation mixed
831	C5	Cornfield named C5
832	C8	Sluice named C8
833	C8	hazy meditative folk rock
834	X10	Stuck post-punk
835	X10	Robber Robber
836	C5	lush-voiced folk
837	C7	pounding riffs pastoral dual vocals
838	C6	cozy dreamy AM indie pop borderline
839	C3	National Photo Committee named C3
840	C7	aughts alt-rock hooks borderline
841	X5	maximalist acoustic prog folk
842	X9	dream pop groove indie borderline
843	C6	Minor Moon live
844	C1	Brown Horse
845	X10	Dehd member hazy sax rock
846	C9	Friko named C9
847	V2	Callahan
848	OUT	R&B
849	OUT	minimalism
850	C5	Terry guess folk unknown
851	C7	Terry guess unknown
852	C5	Gia Margaret vocal folk return
853	OUT	minimal wave
854	OUT	art pop
855	C2	Mildred named C2
856	C2	Goodall piano storyteller
857	C5	omnichord folk pop
858	C7	grunge wonky indie
859	C2	Halper heartland conversational
860	X7	Springsteen
861	X7	Springsteen
862	X7	Springsteen
863	X7	Springsteen
864	C1	jangle plus 70s country rock garage
865	C5	off-kilter folk pop strings borderline
866	OUT	Spanish-language folk
867	OUT	maximalist septet
868	OUT	rap
869	OUT	psych pop
870	C6	spectral cosmic folk pop
871	X5	Elephant 6 baroque exuberance
872	X10	Cola
873	C7	Twin Peaks
874	C7	Twin Peaks
875	C7	Twin Peaks
876	C7	Twin Peaks
877	C7	Twin Peaks
878	C7	Chicago jangle
879	C7	Chicago jangle
880	C6	Morby named C6
881	C6	dusky country smoky soul 70s
882	C1	roaring Americana raspy baritone
883	C5	Villagerrr named C5
884	?	unknown honorable mention
885	?	unknown honorable mention
886	X9	Feeble Little Horse noise pop
887	C7	Gladie crunchy choruses
888	C5	Jackie West folk
889	OUT	jazz
890	OUT	metal
891	C6	Weird Ears
892	OUT	DJ mix
893	C6	pedal steel cosmic pastoral pop
894	?	unknown honorable mention
895	OUT	avant guitar
896	C8	woozy Americana dream pop
897	C7	jangly power pop
898	C5	eclectic folk rock Beach Boys harmonies
899	OUT	instrumental kraut rhythm
900	OUT	Bristol jazz rock
901	C2	Winos songwriter trio
902	C6	Laurel Canyon country styling
903	C8	hushed pedal steel woodwinds
904	OUT	experimental collective
905	OUT	ambient sophisti pop
906	OUT	Destroyer yacht
907	C7	slacker power pop
908	C7	K Records fuzz jangle
909	X10	no-wave grunge noise
910	X10	nervy melodic punk
911	OUT	egg punk synth
912	OUT	Porches rough turn
913	OUT	synth pop
914	OUT	synth pop
915	C7	Bonny Doon named C7
916	C7	frantic power pop
917	C5	hushed folk pop slide
918	C9	emo bedroom folk cathartic
919	X10	post-punk new wave
920	X10	London chameleonic indie
921	C3	roots rock pop country outlaw
922	C1	punchy twangy pop-rock folk
923	C7	90s fuzz bedroom pop
924	C1	Freeman
925	C5	resplendent folk rock steel
926	C7	euphoric folk-rock pop McCartney
927	OUT	acid garage rock
928	X10	egg punk psych
929	OUT	Irish folk rock adjacent
930	OUT	Hansard
931	C7	twangy jangly power pop
932	C8	ghostly folk ambient borderline
933	?	eclectic alt-rock synth twang unknown
934	C7	young Chicago indie rock
935	C2	Davis
936	C7	Kiwi jr
937	C5	introspective folk rock piano
938	C7	anthemic guitar-solo indie borderline
939	C6	70s rock Rado soft rock
940	C1	driving twang Chelmis pedal steel
941	C3	Crutchfield-produced country rock
942	C4	crunchy loud Squirrel Flower
943	X5	baroque folk Handel Bach
944	V8	solo guitar transcriptions
945	C1	serene twang apocalyptic indie
946	C7	Hunt
947	OUT	cumbia jazz
948	C8	Babehoven folk pop Americana
949	C7	Slow Pulp named C7
950	C5	quiet ramshackle folk
951	X10	Drin post-punk psych
952	X14	PUP
953	C5	Seabird named C5
954	C5	folk bluegrass recast indie
955	OUT	Brighton anthemic rock
956	C7	McKiel dreamlike collab
957	OUT	jazz instrumentals
958	?	unknown honorable mention
